© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
CCR3 Signaling in Eosinophils	3.35E00	8.06E-02	NaN	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,PIK3CD,PIK3R1,PIK3R4,RHOA	
PEDF Signaling	3.33E00	9.76E-02	-1.414	BCL2,PIK3CD,PIK3R1,PIK3R4,RHOA,SOD2,WASF2,ZEB1	
IL-8 Signaling	3.26E00	6.5E-02	1.155	BCL2,CCND2,CCND3,GNAI2,GNAI3,GNB1,GNB2,MAP4K4,MYL12B,PIK3CD,PIK3R1,PIK3R4,RHOA	
Glucocorticoid Receptor Signaling	3.26E00	5.36E-02	NaN	ACTB,ANXA1,BCL2,CD3G,GRB2,GTF2F1,HSP90AA1,HSP90AB1,HSPA5,HSPA8,PIK3CD,PIK3R1,PIK3R4,SMAD2,SMARCC1,TAF15,TAF7,TSC22D3	
Reelin Signaling in Neurons	3.22E00	7.75E-02	0.632	ACTR2,ACTR3,ARHGEF3,ITGB1,PDK3,PIK3CD,PIK3R1,PIK3R4,RAPGEF1,RHOA	
Paxillin Signaling	3.17E00	8.33E-02	-0.707	ACTB,ACTG1,ARF6,GRB2,ITGB1,ITGB7,PIK3CD,PIK3R1,PIK3R4	
Cellular Effects of Sildenafil (Viagra)	3.16E00	7.63E-02	NaN	ACTB,ACTG1,CALM1 (includes others),CAMK4,MYL12A,MYL12B,MYL6,PABPC4,PDE3B,SLC4A10	
RANK Signaling in Osteoclasts	3.13E00	9.09E-02	1.414	BIRC3,CALM1 (includes others),CAMK4,MAP3K4,PIK3CD,PIK3R1,PIK3R4,TAB2	
Regulation of eIF4 and p70S6K Signaling	3.11E00	7.01E-02	-1.342	EIF2S2,EIF3D,EIF3E,EIF4A2,EIF4G1,EIF4G2,GRB2,ITGB1,PIK3CD,PIK3R1,PIK3R4	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.09E00	8.99E-02	1.000	ACTB,ACTG1,CD28,CD69,HLA-A,HLA-F,IL2RG,LTB	
Rac Signaling	3.06E00	8.04E-02	1.000	ACTR2,ACTR3,ELK4,ITGB1,PIK3CD,PIK3R1,PIK3R4,PIP5K1A,RHOA	
Interferon Signaling	2.95E00	1.39E-01	1.342	BCL2,IFITM1,IRF1,ISG15,TYK2	
ILK Signaling	2.95E00	6.32E-02	0.302	ACTB,ACTG1,FLNA,ITGB1,ITGB7,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA,TMSB10/TMSB4X,VIM	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.94E00	8.51E-02	1.414	ACTB,ACTG1,ACTR2,ACTR3,ARF6,LCP2,PIK3R1,PIP5K1A	
CCR5 Signaling in Macrophages	2.94E00	8.51E-02	1.342	CALM1 (includes others),CAMK4,CCR5,CD3G,GNAI2,GNAI3,GNB1,GNB2	
Role of PKR in Interferon Induction and Antiviral Response	2.92E00	7.69E-02	-0.333	CASP1,DNAJC3,HSP90AA1,HSP90AB1,HSPA5,HSPA8,IRF1,TAB2,TYK2	
Molecular Mechanisms of Cancer	2.9E00	4.86E-02	NaN	ARHGEF3,BCL2,BIRC3,CCND2,CCND3,DAXX,GNAI2,GNAI3,GRB2,ITGB1,PIK3CD,PIK3R1,PIK3R4,PRKDC,RAPGEF1,RHOA,SMAD2,TAB2,TYK2	
CXCR4 Signaling	2.89E00	6.59E-02	0.632	GNAI2,GNAI3,GNB1,GNB2,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA	
Endocannabinoid Cancer Inhibition Pathway	2.87E00	6.99E-02	0.000	CASP1,CCND2,CCND3,GNAI2,GNAI3,PIK3CD,PIK3R1,PIK3R4,RHOA,VIM	
Amyotrophic Lateral Sclerosis Signaling	2.85E00	8.25E-02	-1.414	BCL2,BIRC3,CAPN2,CAPNS1,CASP1,PIK3CD,PIK3R1,PIK3R4	
PAK Signaling	2.85E00	8.25E-02	-0.707	GRB2,ITGB1,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4	
Macropinocytosis Signaling	2.83E00	9.21E-02	0.000	ARF6,ITGB1,ITGB7,PIK3CD,PIK3R1,PIK3R4,RHOA	
Nitric Oxide Signaling in the Cardiovascular System	2.79E00	8.08E-02	0.707	CALM1 (includes others),CAMK4,HSP90AA1,HSP90AB1,PDE3B,PIK3CD,PIK3R1,PIK3R4	
VEGF Signaling	2.79E00	8.08E-02	-0.378	ACTB,ACTG1,BCL2,EIF2S2,GRB2,PIK3CD,PIK3R1,PIK3R4	
Apelin Cardiomyocyte Signaling Pathway	2.79E00	8.08E-02	0.000	GNAI2,GNAI3,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4	
Antigen Presentation Pathway	2.79E00	1.28E-01	NaN	CD74,HLA-A,HLA-F,MR1,PSMB9	
Nur77 Signaling in T Lymphocytes	2.72E00	1.02E-01	NaN	BCL2,CALM1 (includes others),CAMK4,CD28,CD3G,HLA-A	
SAPK/JNK Signaling	2.71E00	7.84E-02	0.707	DAXX,GNB1,GRB2,MAP3K4,MAP4K4,PIK3CD,PIK3R1,PIK3R4	
TR/RXR Activation	2.58E00	8.33E-02	NaN	CAMK4,ENO1,KLF9,PDE3B,PIK3CD,PIK3R1,PIK3R4	
Telomerase Signaling	2.58E00	7.48E-02	0.707	ETS1,GRB2,HSP90AA1,HSP90AB1,IL2RG,PIK3CD,PIK3R1,PIK3R4	
Apelin Pancreas Signaling Pathway	2.55E00	1.14E-01	-1.342	ERN1,PDE3B,PIK3CD,PIK3R1,PIK3R4	
IL-4 Signaling	2.55E00	8.24E-02	NaN	GRB2,HLA-A,IL2RG,PIK3CD,PIK3R1,PIK3R4,TYK2	
Axonal Guidance Signaling	2.55E00	4.34E-02	NaN	ACTR2,ACTR3,ADAM10,ERAP2,GNAI2,GNAI3,GNB1,GNB2,GRB2,ITGB1,LNPEP,MYL12A,MYL12B,MYL6,PFN1,PIK3CD,PIK3R1,PIK3R4,PLXNA1,RHOA,SDCBP	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.54E00	9.38E-02	0.000	CCR5,GNAI2,GNAI3,PIK3CD,PIK3R1,PIK3R4	
Pancreatic Adenocarcinoma Signaling	2.53E00	7.34E-02	0.378	BCL2,GRB2,PIK3CD,PIK3R1,PIK3R4,SMAD2,TGFA,TYK2	
HOTAIR Regulatory Pathway	2.51E00	6.25E-02	-0.632	ATG3,IRF1,KMT2A,PIK3CD,PIK3R1,PIK3R4,REST,STK38,VIM,YY1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	2.48E00	2.14E-01	NaN	PARP1,PRKDC,XRCC5	
HGF Signaling	2.48E00	7.21E-02	-0.378	ETS1,GRB2,ITGB1,MAP3K4,PIK3CD,PIK3R1,PIK3R4,RAPGEF1	
Hepatic Fibrosis Signaling Pathway	2.43E00	4.62E-02	0.728	BCL2,CALM1 (includes others),CAMK4,GNAI2,GNAI3,IL18RAP,ITGB1,KLF9,MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA,SMAD2,SOD2	
Ephrin A Signaling	2.43E00	1.06E-01	NaN	ADAM10,PIK3CD,PIK3R1,PIK3R4,RHOA	
Prostate Cancer Signaling	2.39E00	7.69E-02	NaN	BCL2,GRB2,HSP90AA1,HSP90AB1,PIK3CD,PIK3R1,PIK3R4	
Cdc42 Signaling	2.38E00	5.99E-02	1.134	ACTR2,ACTR3,CD3G,EXOC3,HLA-A,HLA-F,ITGB1,MYL12A,MYL12B,MYL6	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.37E00	8.7E-02	NaN	GRB2,IL2RG,IL7R,PIK3CD,PIK3R1,PIK3R4	
GM-CSF Signaling	2.34E00	8.57E-02	-1.342	ETS1,GRB2,PIK3CD,PIK3R1,PIK3R4,PIM1	
Primary Immunodeficiency Signaling	2.31E00	1E-01	NaN	CD8A,IGHA1,IL2RG,IL7R,PTPRC	
Phospholipase C Signaling	2.3E00	5.06E-02	0.905	ARHGEF3,CALM1 (includes others),CAMK4,CD3G,GNB1,GNB2,GRB2,ITGB1,LCP2,MYL12A,MYL12B,MYL6,RHOA	
GP6 Signaling Pathway	2.3E00	6.72E-02	1.414	ADAM10,CALM1 (includes others),CAMK4,LCP2,PIK3CD,PIK3R1,PIK3R4,RASGRP2	
Melatonin Signaling	2.28E00	8.33E-02	1.633	CALM1 (includes others),CAMK4,GNAI2,GNAI3,RORA,RORC	
Systemic Lupus Erythematosus Signaling	2.28E00	5.24E-02	NaN	CAMK4,CD28,CD3G,GRB2,HLA-A,HLA-F,LSM14A,LSM4,PIK3CD,PIK3R1,PIK3R4,PTPRC	
Neuregulin Signaling	2.26E00	7.29E-02	NaN	ERBIN,GRB2,HSP90AA1,HSP90AB1,ITGB1,PIK3R1,TGFA	
α-Adrenergic Signaling	2.26E00	7.29E-02	1.342	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,PHKB	
T Cell Exhaustion Signaling Pathway	2.24E00	5.71E-02	1.414	CD28,EOMES,HLA-A,HLA-F,PIK3CD,PIK3R1,PIK3R4,PRDM1,SMAD2,TYK2	
IL-9 Signaling	2.23E00	1.21E-01	0.000	IL2RG,PIK3CD,PIK3R1,PIK3R4	
Inhibition of ARE-Mediated mRNA Degradation Pathway	2.23E00	6.56E-02	0.707	CNOT6,DCP2,LTB,PAPOLA,PSME3,YWHAB,ZFP36L2,ZNF331	
p53 Signaling	2.21E00	7.14E-02	0.447	BCL2,CCND2,CCNG1,PIK3CD,PIK3R1,PIK3R4,PRKDC	
Relaxin Signaling	2.2E00	6E-02	0.000	GNAI2,GNAI3,GNB1,GNB2,PDE3B,PDE6D,PIK3CD,PIK3R1,PIK3R4	
Apoptosis Signaling	2.19E00	7.07E-02	-1.633	BCL2,BIRC3,CAPN2,CAPNS1,MAP4K4,MCL1,PARP1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.19E00	1.18E-01	NaN	BCL2,CD3G,HLA-A,HLA-F	
PKCθ Signaling in T Lymphocytes	2.11E00	5.81E-02	0.333	CD28,CD3G,GRB2,HLA-A,LCP2,MAP3K4,PIK3CD,PIK3R1,PIK3R4	
Sumoylation Pathway	2.1E00	6.8E-02	-1.342	ARHGDIB,DAXX,ETS1,RHOA,UBA2,ZEB1,ZNF217	
Granzyme A Signaling	2.09E00	1.58E-01	NaN	H1-10,H1-3,H1-4	
GADD45 Signaling	2.09E00	1.58E-01	NaN	CCND2,CCND3,MAP3K4	
p70S6K Signaling	2.09E00	6.2E-02	-0.378	GNAI2,GNAI3,GRB2,IL2RG,PIK3CD,PIK3R1,PIK3R4,YWHAB	
B Cell Receptor Signaling	2.07E00	5.41E-02	0.000	CALM1 (includes others),CAMK4,ETS1,GRB2,IGHA1,MAP3K4,PIK3CD,PIK3R1,PIK3R4,PTPRC	
CNTF Signaling	2.07E00	8.77E-02	-0.447	GRB2,PIK3CD,PIK3R1,PIK3R4,TYK2	
Chemokine Signaling	2.06E00	7.5E-02	1.633	CALM1 (includes others),CAMK4,CCR5,GNAI2,GNAI3,RHOA	
MSP-RON Signaling Pathway	2.04E00	8.62E-02	NaN	ACTB,ACTG1,PIK3CD,PIK3R1,PIK3R4	
eNOS Signaling	2.04E00	5.66E-02	-0.378	CALM1 (includes others),CAMK4,HSP90AA1,HSP90AB1,HSPA5,HSPA8,PIK3CD,PIK3R1,PIK3R4	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	2.02E00	2.86E-01	NaN	ADA2,PGM2	
Docosahexaenoic Acid (DHA) Signaling	2.01E00	1.05E-01	NaN	BCL2,PIK3CD,PIK3R1,PIK3R4	
Synaptogenesis Signaling Pathway	1.99E00	4.49E-02	1.387	ACTR2,ACTR3,AP2S1,CALM1 (includes others),CAMK4,GRB2,HSPA8,NAP1L4,PIK3CD,PIK3R1,PIK3R4,RAPGEF1,RASGRP2,RHOA	
Antiproliferative Role of TOB in T Cell Signaling	1.97E00	1.03E-01	-1.000	CD28,CD3G,PABPC4,SMAD2	
Endoplasmic Reticulum Stress Pathway	1.97E00	1.43E-01	NaN	DNAJC3,ERN1,HSPA5	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.97E00	5.21E-02	NaN	ETS1,GRB2,ID2,PIK3CD,PIK3R1,PIK3R4,RHOA,SMAD2,TYK2,ZEB1	
HER-2 Signaling in Breast Cancer	1.96E00	7.14E-02	NaN	GRB2,ITGB1,ITGB7,PIK3CD,PIK3R1,PIK3R4	
Androgen Signaling	1.96E00	5.88E-02	NaN	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,GTF2F1,HSP90AA1	
ERK/MAPK Signaling	1.95E00	5.18E-02	0.333	DUSP2,ETS1,GRB2,ITGB1,MKNK2,PIK3CD,PIK3R1,PIK3R4,RAPGEF1,YWHAB	
IL-2 Signaling	1.95E00	8.2E-02	-0.447	GRB2,IL2RG,PIK3CD,PIK3R1,PIK3R4	
Autophagy	1.95E00	8.2E-02	NaN	ATG3,BCL2,CTSC,PIK3R4,VPS18	
Glioma Signaling	1.95E00	6.36E-02	0.378	CALM1 (includes others),CAMK4,GRB2,PIK3CD,PIK3R1,PIK3R4,TGFA	
Sirtuin Signaling Pathway	1.87E00	4.47E-02	1.508	ADAM10,ATG3,ATP5F1B,H1-10,H1-3,H1-4,LDHB,PARP1,PGK1,PRKDC,SMARCA5,SOD2,XRCC5	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1.85E00	6.74E-02	NaN	CALM1 (includes others),CAMK4,CD28,CD3G,GRB2,SMAD2	
Endocannabinoid Developing Neuron Pathway	1.85E00	6.09E-02	0.378	GNAI2,GNAI3,GNB1,PIK3CD,PIK3R1,PIK3R4,RHOA	
Apelin Endothelial Signaling Pathway	1.85E00	6.09E-02	0.378	CALM1 (includes others),CAMK4,GNAI2,GNAI3,PIK3CD,PIK3R1,PIK3R4	
ErbB2-ErbB3 Signaling	1.84E00	7.69E-02	-0.447	GRB2,PIK3CD,PIK3R1,PIK3R4,TYK2	
Regulation of Cellular Mechanics by Calpain Protease	1.84E00	7.69E-02	-1.342	CAPN2,CAPNS1,CAST,GRB2,ITGB1	
BAG2 Signaling Pathway	1.83E00	9.3E-02	1.000	HSP90AA1,HSPA5,HSPA8,PSME3	
Calcium-induced T Lymphocyte Apoptosis	1.81E00	7.58E-02	0.447	CALM1 (includes others),CAMK4,CAPN2,CD3G,HLA-A	
Sphingosine-1-phosphate Signaling	1.81E00	5.98E-02	-0.378	CASP1,GNAI2,GNAI3,PIK3CD,PIK3R1,PIK3R4,RHOA	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.77E00	4.2E-02	-0.277	CAMK4,CASP1,CD28,CD3G,GNAI2,GNAI3,GRB2,HLA-A,HLA-F,PIK3CD,PIK3R1,PIK3R4,RHOA,RORC	
iNOS Signaling	1.76E00	8.89E-02	NaN	CALM1 (includes others),CAMK4,IRF1,TYK2	
CREB Signaling in Neurons	1.76E00	4.83E-02	0.000	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,GRB2,PIK3CD,PIK3R1,PIK3R4	
Remodeling of Epithelial Adherens Junctions	1.76E00	7.35E-02	NaN	ACTB,ACTG1,ACTR2,ACTR3,ARF6	
Lipid Antigen Presentation by CD1	1.72E00	1.15E-01	NaN	AP2S1,ARF6,PSAP	
nNOS Signaling in Neurons	1.7E00	8.51E-02	NaN	CALM1 (includes others),CAMK4,CAPN2,CAPNS1	
Senescence Pathway	1.69E00	4.36E-02	0.577	CALM1 (includes others),CAMK4,CAPN2,CAPNS1,ETS1,PARP1,PDK3,PIK3CD,PIK3R1,PIK3R4,SMAD2,SOD2	
Role of NFAT in Cardiac Hypertrophy	1.67E00	4.67E-02	0.333	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,GNB2,GRB2,PIK3CD,PIK3R1,PIK3R4	
IL-6 Signaling	1.67E00	5.6E-02	-1.134	GRB2,IL18RAP,MAP4K4,MCL1,PIK3CD,PIK3R1,PIK3R4	
Actin Nucleation by ARP-WASP Complex	1.66E00	6.94E-02	1.000	ACTR2,ACTR3,GRB2,ITGB1,RHOA	
Ephrin B Signaling	1.66E00	6.94E-02	NaN	GNAI2,GNAI3,GNB1,GNB2,RHOA	
Non-Small Cell Lung Cancer Signaling	1.64E00	6.85E-02	-0.447	GRB2,PIK3CD,PIK3R1,PIK3R4,TGFA	
P2Y Purigenic Receptor Signaling Pathway	1.64E00	5.51E-02	0.000	GNAI2,GNAI3,GNB1,GNB2,PIK3CD,PIK3R1,PIK3R4	
Leptin Signaling in Obesity	1.62E00	6.76E-02	-1.342	GRB2,PDE3B,PIK3CD,PIK3R1,PIK3R4	
Cardiac Hypertrophy Signaling (Enhanced)	1.61E00	3.7E-02	1.213	CALM1 (includes others),CAMK4,GNAI2,GNAI3,GNB1,IL18RAP,IL2RG,IL7R,ITGB1,LTB,MAP3K4,MKNK2,PDE3B,PDE6D,PIK3CD,PIK3R1,PIK3R4,RHOA	
Gαq Signaling	1.61E00	5.06E-02	1.134	CALM1 (includes others),CAMK4,GNB1,GNB2,PIK3CD,PIK3R1,PIK3R4,RHOA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.6E00	4.55E-02	NaN	BCL2,BIRC3,CALM1 (includes others),CAMK4,IL18RAP,ITGB1,PIK3CD,PIK3R1,PIK3R4,TAB2	
IL-15 Signaling	1.6E00	6.67E-02	0.447	IL2RG,PIK3CD,PIK3R1,PIK3R4,TYK2	
Role of p14/p19ARF in Tumor Suppression	1.59E00	1.03E-01	NaN	PIK3CD,PIK3R1,PIK3R4	
Gα12/13 Signaling	1.59E00	5.38E-02	0.378	MYL12A,MYL12B,MYL6,PIK3CD,PIK3R1,PIK3R4,RHOA	
Mouse Embryonic Stem Cell Pluripotency	1.57E00	5.83E-02	-0.816	GRB2,ID2,PIK3CD,PIK3R1,PIK3R4,TYK2	
Antiproliferative Role of Somatostatin Receptor 2	1.55E00	6.49E-02	0.000	GNB1,GNB2,PIK3CD,PIK3R1,PIK3R4	
RAR Activation	1.53E00	4.64E-02	NaN	ACTB,PARP1,PIK3CD,PIK3R1,PNRC1,PRMT2,PSMC5,SMAD2,SMARCC1	
Lymphotoxin β Receptor Signaling	1.53E00	7.55E-02	0.000	LTB,PIK3CD,PIK3R1,PIK3R4	
IL-3 Signaling	1.51E00	6.33E-02	-0.447	GRB2,PIK3CD,PIK3R1,PIK3R4,RAPGEF1	
STAT3 Pathway	1.51E00	5.19E-02	2.000	BCL2,IL18RAP,IL2RG,IL7R,PIM1,TGFA,TYK2	
