© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Prolactin Signaling	5.29E00	1.48E-01	-0.905	CREBBP,FOS,GRB2,JAK2,MAPK1,NRAS,PRKCQ,PTPN11,SOS1,STAT3,STAT5B,TCF7	
Neuregulin Signaling	5.24E00	1.35E-01	-0.333	CDKN1B,ERBIN,GRB2,HSP90B1,ITGA4,ITGB1,MAPK1,MATK,NRAS,PRKCQ,PTPN11,SOS1,STAT5B	
GM-CSF Signaling	5.15E00	1.57E-01	-1.265	CAMK2G,GRB2,JAK2,MAPK1,NRAS,PIM1,PTPN11,RACK1,SOS1,STAT3,STAT5B	
Role of NFAT in Regulation of the Immune Response	5.04E00	9.94E-02	-1.604	CD247,CD3D,CD3E,CSNK1D,CSNK1G3,FOS,GNAI2,GNB1,GNB2,GRB2,GSK3B,LCP2,MAPK1,NFKBIA,NRAS,PRKCQ,SOS1,XPO1	
Ephrin B Signaling	5.03E00	1.53E-01	2.121	AXIN1,CAP1,CFL1,CXCR4,GNAI2,GNB1,GNB2,ITSN2,MAPK1,RHOA,ROCK2	
Mouse Embryonic Stem Cell Pluripotency	4.9E00	1.26E-01	0.000	AXIN1,CREBBP,GRB2,GSK3B,JAK2,JAK3,MAPK1,MAPK14,NRAS,PTPN11,SOS1,STAT3,TCF7	
T Cell Receptor Signaling	4.8E00	1.24E-01	NaN	CD247,CD3D,CD3E,FOS,GRB2,LCP2,MAPK1,NFKBIA,NRAS,PAG1,PRKCQ,RASGRP1,SOS1	
Thrombopoietin Signaling	4.77E00	1.59E-01	-1.265	FOS,GRB2,JAK2,MAPK1,NRAS,PRKCQ,PTPN11,SOS1,STAT3,STAT5B	
Paxillin Signaling	4.67E00	1.2E-01	-1.897	ACTG1,ARHGEF6,GRB2,ITGA4,ITGA6,ITGAM,ITGB1,ITGB7,MAPK1,MAPK14,NRAS,PAK2,SOS1	
IL-3 Signaling	4.64E00	1.39E-01	-1.508	FOS,GRB2,JAK2,MAPK1,NRAS,PRKCQ,RAPGEF1,SOS1,STAT3,STAT5B,STAT6	
RAR Activation	4.63E00	9.28E-02	NaN	ADCY9,ARID1A,CREBBP,FOS,JAK2,MAPK1,MAPK14,MAPKAPK2,NCOR1,NSD1,PARP1,PBRM1,PRKCQ,PRMT2,SMARCA2,SMARCC2,STAT5B,TNIP1	
IL-6 Signaling	4.63E00	1.12E-01	-0.277	ABCB1,CD14,FOS,GRB2,JAK2,MAPK1,MAPK14,MAPKAPK2,NFKBIA,NRAS,PTPN11,SOS1,STAT3,TNFRSF1B	
JAK/Stat Signaling	4.59E00	1.38E-01	-1.508	FOS,GRB2,JAK2,JAK3,MAPK1,NRAS,PTPN11,SOS1,STAT3,STAT5B,STAT6	
Chemokine Signaling	4.59E00	1.38E-01	2.111	CAMK2G,CFL1,CXCR4,FOS,GNAI2,MAPK1,MAPK14,MPRIP,NRAS,RHOA,ROCK2	
Leukocyte Extravasation Signaling	4.54E00	9.14E-02	0.243	ACTG1,ARHGAP4,CXCR4,GNAI2,ITGA4,ITGA6,ITGAM,ITGB1,MAPK1,MAPK14,PRKCQ,PTPN11,RASGRP1,RASSF5,RHOA,ROCK2,SIPA1,SPN	
Oncostatin M Signaling	4.44E00	1.86E-01	-0.707	GRB2,JAK2,JAK3,MAPK1,NRAS,SOS1,STAT3,STAT5B	
BAG2 Signaling Pathway	4.44E00	1.86E-01	1.414	HSPA4,HSPA8,MAPK1,MAPK14,MAPKAPK2,PSME1,PSME2,PSME4	
Tec Kinase Signaling	4.44E00	9.76E-02	-1.387	ACTG1,FNBP1,FOS,GNAI2,GNB1,GNB2,ITGA4,ITGB1,JAK2,JAK3,PAK2,PRKCQ,RHOA,STAT3,STAT5B,STAT6	
p53 Signaling	4.43E00	1.22E-01	0.000	ATM,CCND2,CSNK1D,GADD45B,GSK3B,HDAC1,HIF1A,JMY,MAPK14,PRKDC,SCO2,TP53BP2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.42E00	1.45E-01	NaN	GRB2,IL7R,JAK2,JAK3,MAPK1,NRAS,PTPN11,STAT3,STAT5B,STAT6	
B Cell Receptor Signaling	4.35E00	9.19E-02	-0.243	APBB1IP,CAMK2G,CFL1,CREBBP,GRB2,GSK3B,MAP3K3,MAPK1,MAPK14,NFKBIA,NRAS,PAG1,POU2F2,PRKCQ,PTPN11,RASSF5,SOS1	
iNOS Signaling	4.29E00	1.78E-01	1.414	CD14,CREBBP,FOS,JAK2,JAK3,MAPK1,MAPK14,NFKBIA	
Hepatic Fibrosis Signaling Pathway	4.27E00	7.07E-02	-0.392	AXIN1,BRD4,CDKN1B,CREBBP,FNBP1,FOS,FTL,GNAI2,GSK3B,HIF1A,IL17RA,ITGA4,ITGB1,JAK2,MAPK1,MAPK14,MYL12A,NFKBIA,NRAS,PRKCQ,RHOA,ROCK2,SOS1,STAT3,TCF7,TNFRSF1B	
CD28 Signaling in T Helper Cells	4.19E00	1.08E-01	-1.000	ACTR2,ACTR3,ARPC1B,ARPC2,CD247,CD3D,CD3E,FOS,GRB2,LCP2,NFKBIA,PRKCQ,PTPN11	
Clathrin-mediated Endocytosis Signaling	4.12E00	8.81E-02	NaN	ACTG1,ACTR2,ACTR3,AP2B1,AP3S1,ARPC1B,ARPC2,GRB2,HSPA8,ITGB1,ITGB7,LYZ,RAB11B,S100A8,UBA52,UBC,USP9X	
Protein Kinase A Signaling	4.11E00	6.78E-02	1.460	ADCY9,ADD1,ADD3,AKAP9,CAMK2G,CDC25B,CREBBP,DUSP11,DUSP2,GNAI2,GNB1,GNB2,GSK3B,MAPK1,MYL12A,NFKBIA,PDIA3,PHKB,PLCL2,PRKCQ,PTP4A1,PTPN11,PTPN13,PTPN4,RHOA,ROCK2,TCF7	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.11E00	2.4E-01	NaN	JAK2,MAPK1,MAPK14,PTPN11,STAT3,STAT5B	
Hereditary Breast Cancer Signaling	4.08E00	1E-01	NaN	ARID1A,ATM,BRCA2,CREBBP,GADD45B,HDAC1,NPM1,NRAS,PBRM1,POLR2C,SMARCA2,SMARCC2,UBA52,UBC	
Lipid Antigen Presentation by CD1	4.01E00	2.31E-01	NaN	AP2B1,B2M,CALR,CD3E,PDIA3,PSAP	
Cardiac Hypertrophy Signaling	3.91E00	7.92E-02	0.728	ADCY9,CREBBP,FNBP1,GNAI2,GNB1,GNB2,GRB2,GSK3B,MAP3K3,MAPK1,MAPK14,MAPKAPK2,MYL12A,NRAS,PDIA3,PLCL2,RHOA,ROCK2,SOS1	
HGF Signaling	3.9E00	1.08E-01	-1.732	FOS,GRB2,ITGA4,ITGB1,MAP3K3,MAPK1,NRAS,PRKCQ,PTPN11,RAPGEF1,SOS1,STAT3	
ErbB2-ErbB3 Signaling	3.88E00	1.38E-01	-1.414	CDKN1B,GRB2,GSK3B,JAK3,MAPK1,NRAS,SOS1,STAT3,STAT5B	
FLT3 Signaling in Hematopoietic Progenitor Cells	3.86E00	1.25E-01	-1.265	CREBBP,GRB2,MAPK1,MAPK14,NRAS,PTPN11,SOS1,STAT3,STAT5B,STAT6	
Rac Signaling	3.86E00	1.07E-01	-1.155	ACTR2,ACTR3,ARPC1B,ARPC2,CFL1,ITGA4,ITGB1,MAPK1,NRAS,PAK2,PI4KA,RHOA	
Antiproliferative Role of TOB in T Cell Signaling	3.85E00	1.79E-01	1.890	CD247,CD3D,CD3E,CDKN1B,MAPK1,SKP1,TOB1	
fMLP Signaling in Neutrophils	3.72E00	1.03E-01	0.000	ACTR2,ACTR3,ARPC1B,ARPC2,FPR1,GNAI2,GNB1,GNB2,MAPK1,NFKBIA,NRAS,PRKCQ	
Synaptogenesis Signaling Pathway	3.69E00	7.05E-02	-0.426	ACTR2,ACTR3,ADCY9,AP2B1,ARPC1B,ARPC2,CAMK2G,CFL1,CREBBP,GRB2,GSK3B,HSPA8,ITSN2,MAPK1,MAPK14,NRAS,RAPGEF1,RASGRP1,RASGRP2,RHOA,SOS1,STX16	
Unfolded protein response	3.6E00	1.43E-01	1.134	ATF6,CALR,HSP90B1,HSPA4,HSPA8,MBTPS2,P4HB,VCP	
PI3K/AKT Signaling	3.58E00	8.57E-02	-1.387	CDKN1B,GRB2,GSK3B,HSP90B1,IL17RA,IL7R,ITGA4,ITGB1,JAK2,JAK3,MAPK1,NFKBIA,NRAS,SOS1,TSC1	
PPAR Signaling	3.54E00	1.06E-01	1.508	CREBBP,FOS,GRB2,HSP90B1,MAPK1,NCOR1,NFKBIA,NRAS,SOS1,STAT5B,TNFRSF1B	
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.51E00	9.84E-02	-0.577	DDX6,LTB,MAPK1,MAPK14,MAPKAPK2,PARN,PSME1,PSME2,PSME4,TNFRSF1B,ZFP36,ZFP36L1	
Endoplasmic Reticulum Stress Pathway	3.49E00	2.38E-01	0.000	ATF6,CALR,HSP90B1,MBTPS2,TAOK3	
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.48E00	1.12E-01	NaN	AP2B1,B2M,CD247,CD3D,CD3E,GRB2,HLA-C,JAK2,LCP2,PTPN11	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.48E00	1.12E-01	NaN	CD247,CD3D,CD3E,FOS,GRB2,MAPK1,NFKBIA,NRAS,SOS1,TOB1	
CCR3 Signaling in Eosinophils	3.45E00	9.68E-02	0.447	CFL1,GNAI2,GNB1,GNB2,MAPK1,MAPK14,MPRIP,NRAS,PAK2,PRKCQ,RHOA,ROCK2	
Virus Entry via Endocytic Pathways	3.43E00	1.03E-01	NaN	ACTG1,AP2B1,AP3S1,B2M,HLA-C,ITGA4,ITGA6,ITGB1,ITGB7,NRAS,PRKCQ	
Endocannabinoid Cancer Inhibition Pathway	3.42E00	9.09E-02	-1.155	ADCY9,CCND2,CDKN1B,CREBBP,GNAI2,GSK3B,HIF1A,MAPK1,MAPK14,RHOA,ROCK2,TCF7,VIM	
Prostate Cancer Signaling	3.4E00	1.1E-01	NaN	CDKN1B,CREBBP,GRB2,GSK3B,HSP90B1,MAPK1,NFKBIA,NRAS,SIN3A,SOS1	
Semaphorin Signaling in Neurons	3.39E00	1.33E-01	NaN	CFL1,FNBP1,ITGB1,MAPK1,PAK2,RHOA,ROCK2,SEMA4D	
Erythropoietin Signaling	3.35E00	1.18E-01	NaN	FOS,GRB2,JAK2,MAPK1,NFKBIA,NRAS,PRKCQ,SOS1,STAT5B	
Toll-like Receptor Signaling	3.35E00	1.18E-01	0.816	CD14,EIF2AK2,FOS,MAPK1,MAPK14,NFKBIA,TNFAIP3,UBA52,UBC	
IL-2 Signaling	3.34E00	1.31E-01	-1.414	FOS,GRB2,JAK3,MAPK1,NRAS,PTPN11,SOS1,STAT5B	
CCR5 Signaling in Macrophages	3.29E00	1.06E-01	0.447	CD247,CD3D,CD3E,FOS,GNAI2,GNB1,GNB2,MAPK1,MAPK14,PRKCQ	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.29E00	6.73E-02	NaN	AXIN1,CAMK2G,CREBBP,FOS,GSK3B,IL17RA,JAK2,LTB,MAPK1,MAPK14,MAPKAPK2,NFKBIA,NRAS,PDIA3,PLCL2,PRKCQ,RHOA,ROCK2,STAT3,TCF7,TNFRSF1B	
CXCR4 Signaling	3.28E00	8.38E-02	0.577	ADCY9,CXCR4,FNBP1,FOS,GNAI2,GNB1,GNB2,MAPK1,MYL12A,NRAS,PAK2,PRKCQ,RHOA,ROCK2	
IL-7 Signaling Pathway	3.27E00	1.15E-01	-1.000	CDKN1B,GRB2,GSK3B,IL7R,JAK3,MAPK1,MAPK14,SOS1,STAT5B	
IL-17A Signaling in Fibroblasts	3.26E00	1.71E-01	NaN	FOS,GSK3B,IL17RA,MAPK1,MAPK14,NFKBIA	
FAK Signaling	3.25E00	1.05E-01	NaN	ACTG1,ARHGEF6,CAPNS1,GRB2,ITGA4,ITGB1,MAPK1,NRAS,PAK2,SOS1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.24E00	7.98E-02	1.807	CAT,CREBBP,FNBP1,FOS,JAK2,JAK3,LYZ,MAP3K3,MAPK1,MAPK14,NFKBIA,PRKCQ,RHOA,S100A8,TNFRSF1B	
Agrin Interactions at Neuromuscular Junction	3.23E00	1.14E-01	-2.121	ACTG1,ARHGEF6,ITGA4,ITGA6,ITGB1,MAPK1,NRAS,PAK2,UTRN	
ILK Signaling	3.2E00	7.89E-02	-1.387	ACTG1,ARHGEF6,CFL1,CREBBP,FNBP1,FOS,GSK3B,HIF1A,ITGB1,ITGB7,MAPK1,NACA,RHOA,TMSB10/TMSB4X,VIM	
PAK Signaling	3.18E00	1.03E-01	-2.333	ARHGEF6,CFL1,GRB2,ITGA4,ITGB1,MAPK1,MYL12A,NRAS,PAK2,SOS1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	3.16E00	6.91E-02	-0.688	CCND2,CD5,FOS,GRB2,GSK3B,ISG15,ISG20,JAK2,LTB,MAPK1,NRAS,PAG1,PLAAT4,PRKCQ,PTPN11,RASGRP1,RASGRP2,SOS1,STAT3	
Endocannabinoid Developing Neuron Pathway	3.16E00	9.57E-02	0.905	ADCY9,CDKN1B,CREBBP,GNAI2,GNB1,GSK3B,MAPK1,MAPK14,NRAS,RHOA,STAT3	
CD40 Signaling	3.15E00	1.23E-01	-0.707	FOS,JAK3,MAPK1,MAPK14,MAPKAPK2,NFKBIA,STAT3,TNFAIP3	
IL-17A Signaling in Airway Cells	3.15E00	1.23E-01	0.378	GSK3B,IL17RA,JAK2,JAK3,MAPK1,MAPK14,NFKBIA,STAT3	
UVA-Induced MAPK Signaling	3.14E00	1.02E-01	1.000	ATM,FOS,MAPK1,MAPK14,NRAS,PARP1,PARP8,PARP9,PDIA3,PLCL2	
GNRH Signaling	3.13E00	8.09E-02	1.069	ADCY9,CAMK2G,CREBBP,FOS,GNAI2,GNB1,GRB2,MAP3K3,MAPK1,MAPK14,NRAS,PAK2,PRKCQ,SOS1	
Axonal Guidance Signaling	3.11E00	5.79E-02	NaN	ACTR2,ACTR3,ARHGEF6,ARPC1B,ARPC2,CFL1,CXCR4,GNAI2,GNB1,GNB2,GRB2,GSK3B,ITGA4,ITGB1,MAPK1,MYL12A,NRAS,PAK2,PDIA3,PFN1,PLCL2,PRKCQ,PTPN11,RASSF5,RHOA,ROCK2,SEMA4D,SOS1	
Role of PKR in Interferon Induction and Antiviral Response	3.1E00	9.4E-02	-0.302	EIF2AK2,FOS,HMGB1,HSP90B1,HSPA4,HSPA8,MAPK1,MAPK14,NFKBIA,NPM1,STAT3	
PKCθ Signaling in T Lymphocytes	3.09E00	8.39E-02	-0.832	CAMK2G,CD247,CD3D,CD3E,FOS,GRB2,LCP2,MAP3K3,MAPK1,NFKBIA,NRAS,PRKCQ,SOS1	
Renin-Angiotensin Signaling	3.07E00	9.32E-02	-0.333	ADCY9,FOS,GRB2,JAK2,MAPK1,MAPK14,NRAS,PAK2,PRKCQ,SOS1,STAT3	
Cell Cycle: G1/S Checkpoint Regulation	3.06E00	1.19E-01	0.000	ATM,CCND2,CDKN1B,GSK3B,HDAC1,RBL2,SIN3A,SKP1	
HER-2 Signaling in Breast Cancer	3.03E00	1.07E-01	NaN	CDKN1B,GRB2,GSK3B,ITGB1,ITGB7,NRAS,PRKCQ,SOS1,TSC1	
Regulation of eIF4 and p70S6K Signaling	3.03E00	8.28E-02	-1.633	EIF3A,EIF3G,EIF3H,EIF3L,EIF4G1,EIF4G2,GRB2,ITGA4,ITGB1,MAPK1,MAPK14,NRAS,SOS1	
Chronic Myeloid Leukemia Signaling	2.97E00	9.71E-02	NaN	CDKN1B,GRB2,HDAC1,MAPK1,NRAS,PTPN11,RBL2,SIN3A,SOS1,STAT5B	
PDGF Signaling	2.96E00	1.05E-01	-0.333	EIF2AK2,FOS,GRB2,JAK2,JAK3,MAPK1,NRAS,SOS1,STAT3	
Glioblastoma Multiforme Signaling	2.84E00	7.88E-02	-0.577	AXIN1,CDKN1B,FNBP1,GRB2,GSK3B,MAPK1,NF2,NRAS,PDIA3,PLCL2,RHOA,SOS1,TSC1	
Caveolar-mediated Endocytosis Signaling	2.82E00	1.1E-01	NaN	ACTG1,B2M,HLA-C,ITGA4,ITGA6,ITGAM,ITGB1,ITGB7	
CNTF Signaling	2.82E00	1.23E-01	-1.134	GRB2,JAK2,MAPK1,NRAS,PTPN11,SOS1,STAT3	
14-3-3-mediated Signaling	2.81E00	8.66E-02	0.302	CDKN1B,FOS,GRB2,GSK3B,MAPK1,NRAS,PDIA3,PLCL2,PRKCQ,TSC1,VIM	
P2Y Purigenic Receptor Signaling Pathway	2.81E00	8.66E-02	1.265	ADCY9,CREBBP,FOS,GNAI2,GNB1,GNB2,MAPK1,NRAS,PDIA3,PLCL2,PRKCQ	
Leptin Signaling in Obesity	2.78E00	1.08E-01	-1.342	ADCY9,GRB2,JAK2,MAPK1,PDIA3,PLCL2,PTPN11,STAT3	
NRF2-mediated Oxidative Stress Response	2.76E00	7.41E-02	1.000	ACTG1,CAT,CREBBP,DNAJC13,DNAJC9,FOS,FTL,GSK3B,GSTK1,MAPK1,MAPK14,NRAS,PRKCQ,VCP	
IL-15 Signaling	2.74E00	1.07E-01	0.000	JAK2,JAK3,MAPK1,MAPK14,NRAS,STAT3,STAT5B,STAT6	
Angiopoietin Signaling	2.74E00	1.07E-01	-1.414	GRB2,NFKBIA,NRAS,PAK2,PTPN11,SOS1,STAT5B,TNIP1	
PPARα/RXRα Activation	2.74E00	7.37E-02	1.508	ADCY9,CREBBP,GRB2,HSP90B1,JAK2,MAPK1,MAPK14,NCOR1,NFKBIA,NRAS,PDIA3,PLCL2,SOS1,STAT5B	
Type I Diabetes Mellitus Signaling	2.73E00	9.01E-02	0.000	CD247,CD3D,CD3E,HLA-C,HLA-G,JAK2,MAPK1,MAPK14,NFKBIA,TNFRSF1B	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.69E00	9.57E-02	-1.000	ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,LCP2,MAPK1,PRKCQ,RAB11B	
ErbB Signaling	2.69E00	9.57E-02	-1.000	FOS,GRB2,GSK3B,MAPK1,MAPK14,NRAS,PAK2,PRKCQ,SOS1	
Role of NFAT in Cardiac Hypertrophy	2.68E00	7.01E-02	1.155	ADCY9,CAMK2G,GNAI2,GNB1,GNB2,GRB2,GSK3B,HDAC1,MAPK1,MAPK14,NRAS,PDIA3,PLCL2,PRKCQ,SOS1	
FAT10 Cancer Signaling Pathway	2.62E00	1.3E-01	0.000	CXCR4,EEF1A1,GSK3B,NFKBIA,STAT3,TNFRSF1B	
T Cell Exhaustion Signaling Pathway	2.61E00	7.43E-02	-0.707	FOS,FOXP1,HLA-C,HLA-G,JAK2,JAK3,MAPK1,NRAS,PRDM1,PRKCQ,PTPN11,STAT3,TCF7	
ATM Signaling	2.6E00	9.28E-02	-0.447	ATM,BRAT1,CREBBP,GADD45B,MAPK14,NFKBIA,SMC1A,TRRAP,USP7	
Adrenomedullin signaling pathway	2.59E00	7.11E-02	0.277	ADCY9,CFH,FOS,GRB2,GSK3B,HIF1A,MAPK1,MAPK14,MATK,NRAS,PDIA3,PLCL2,SMARCC2,SOS1	
Th2 Pathway	2.57E00	8.09E-02	-0.632	CD247,CD3D,CD3E,CXCR4,GRB2,IKZF1,JAK2,JAK3,PRKCQ,STAT5B,STAT6	
Gap Junction Signaling	2.57E00	7.07E-02	NaN	ACTG1,ADCY9,CSNK1D,CSNK1G3,GNAI2,GRB2,MAPK1,NRAS,PDIA3,PLCL2,PRKCQ,SGSM3,SMARCC2,SOS1	
Role of Tissue Factor in Cancer	2.56E00	8.55E-02	NaN	CFL1,ITGA6,ITGB1,JAK2,MAPK1,MAPK14,NRAS,P4HB,PTPN11,STAT5B	
Iron homeostasis signaling pathway	2.55E00	8.03E-02	NaN	ATP6V1B2,FTL,HBB,HIF1A,JAK2,JAK3,MAPK1,PCBP1,SKP1,STAT3,STAT5B	
Apoptosis Signaling	2.53E00	9.09E-02	1.000	BIRC6,CAPNS1,MAPK1,NFKBIA,NRAS,PARP1,PRKCQ,SPTAN1,TNFRSF1B	
VEGF Signaling	2.53E00	9.09E-02	0.333	ACTG1,GRB2,HIF1A,MAPK1,NRAS,PTPN11,ROCK2,SH2D2A,SOS1	
Apelin Cardiomyocyte Signaling Pathway	2.53E00	9.09E-02	1.414	CAT,GNAI2,HIF1A,MAPK1,MAPK14,MYL12A,PDIA3,PLCL2,PRKCQ	
IL-8 Signaling	2.53E00	7E-02	0.832	CCND2,FNBP1,FOS,GNAI2,GNB1,GNB2,ITGAM,LASP1,MAPK1,NRAS,PAK2,PRKCQ,RHOA,ROCK2	
