© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
JAK	 	group	Activated	2.236	1.38E-08	EIF2AK2,IFI6,IFIT3,ISG15,STAT1	16 (7)
ST1926	 	chemical drug	Activated	2.630	1.53E-08	EEF2,EIF4B,NACA,PABPC1,SLC25A6,TMSB10/TMSB4X,TPT1	 
IFNAR2	 	transmembrane receptor	 	 	1.96E-08	IFI44,IFI6,ISG15,OAS2,XAF1	16 (7)
TNFSF10	 	cytokine	 	1.633	2.51E-08	EIF2AK2,IFI6,ISG15,NFKBIA,SP100,STAT1	18 (5)
IRF9	 	transcription regulator	 	 	2.71E-08	IFIT3,ISG15,MX1,OAS2,STAT1	16 (6)
poly rI:rC-RNA	 	biologic drug	Activated	3.104	3.09E-08	ADAR,EIF2AK2,IFI44,IFIT3,ISG15,MX1,NFKBIA,OAS2,OAS3,STAT1	21 (10)
IFNB1	 	cytokine	Activated	2.785	4.78E-08	EIF2AK2,IFI6,IFIT3,ISG15,MX1,OAS2,STAT1,XAF1	18 (11)
STAT6	 	transcription regulator	Inhibited	-2.008	5.49E-08	EIF2AK2,IFI44,IFI44L,IFIT3,ISG15,NFKBIA,OAS3,RNF213,TCF7	16 (6)
mezerein	 	chemical - endogenous non-mammalian	 	 	6.60E-08	EEF1A1,IFI6,MX1,OAS2	 
filgrastim	 	biologic drug	Inhibited	-2.254	7.52E-08	CD52,IFI44,IFI6,IFIT3,ISG15,MX1,OAS3,STAT1,XAF1	 
interferon beta-1a	 	biologic drug	 	 	8.28E-08	IFI6,MX1,NFKBIA,S100A9,SLC25A6,STAT1	 
MAVS	 	other	 	1.969	1.67E-07	ADAR,IFIT3,ISG15,OAS2,STAT1	16 (9)
DDX58	 	enzyme	Activated	2.178	1.80E-07	EIF2AK2,IFI44,IFIT3,ISG15,STAT1	18 (13)
SOCS1	 	other	Inhibited	-2.396	2.04E-07	IFI44,IFIT3,ISG15,MX1,OAS2,STAT1	18 (10)
KRAS	 	enzyme	Inhibited	-2.813	2.34E-07	ADAR,EEF1A1,EIF2AK2,IFI6,ISG15,MX1,NFKBIA,PABPC1,SP100,STAT1	19 (4)
TNF	 	cytokine	Activated	2.184	4.16E-07	EIF2AK2,HSPA8,IFI6,IFIT3,IL7R,ISG15,MX1,NFKBIA,OAS2,OAS3,S100A8,S100A9,STAT1,TPT1,TXNIP	24 (14)
NGLY1	 	enzyme	 	-1.982	4.64E-07	IFI44,IFI44L,IFIT3,OAS3	 
PRDM16	 	transcription regulator	 	-1.992	5.22E-07	IFI44,OAS2,OAS3,STAT1	18 (9)
IRF5	 	transcription regulator	Activated	2.213	5.29E-07	IFI44,IFIT3,ISG15,OAS2,STAT1	 
RNASEH2B	 	enzyme	 	 	6.55E-07	IFI44,IFIT3,ISG15	 
PDLIM2	 	other	 	0.447	7.35E-07	IFI44,IFIT3,OAS3,STAT1,TXNIP	16 (5)
TBK1	 	kinase	Inhibited	-2.183	8.16E-07	IFI44,IFIT3,ISG15,OAS2,OAS3	18 (11)
imiquimod	 	chemical drug	Activated	2.211	8.60E-07	ISG15,MX1,RNF213,S100A9,STAT1	 
Ifn gamma	 	complex	Activated	2.200	9.51E-07	ADAR,EIF2AK2,IFI44L,STAT1,XAF1	 
IL15	 	cytokine	 	0.911	1.08E-06	CD8A,CD8B,HSPA8,IL7R,MX1,NFKBIA,SP100,TCF7	 
IFIH1	 	enzyme	 	 	1.43E-06	IFI44L,ISG15,NFKBIA,OAS2	7 (3)
IFNLR1	 	transmembrane receptor	 	 	1.43E-06	IFI44,IFIT3,ISG15,MX1	17 (8)
uranyl nitrate	 	chemical toxicant	 	0.200	1.53E-06	EEF2,HSPA8,IFIT3,RACK1,TPT1	 
SAMHD1	 	enzyme	 	 	1.56E-06	IFI6,MX1,NFKBIA	 
CD3	 	complex	 	1.826	1.65E-06	CD8A,CD8B,HSPA8,IL7R,NFKBIA,SP100,STAT1,TCF7,XAF1	 
PRKCA	 	kinase	 	1.974	2.78E-06	IFIT3,NFKBIA,S100A8,S100A9,SP100	9 (4)
alefacept	 	biologic drug	 	1.992	2.95E-06	CD52,CD8A,IL7R,STAT1	 
DPH5	 	enzyme	 	 	3.04E-06	EEF2,NFKBIA,STAT1	 
POU2AF1	 	transcription regulator	 	1.960	3.65E-06	IFI44,IFI44L,IFIT3,MX1	 
FZD9	 	G-protein coupled receptor	 	 	3.68E-06	IFI44,ISG15,STAT1	 
cycloheximide	 	chemical reagent	 	-0.692	4.68E-06	CD8A,EEF1A1,EEF1D,EIF4B,IL7R,NFKBIA,S100A8	 
IRF8	 	transcription regulator	 	 	5.44E-06	IFI44L,IFI6,IFIT3,ISG15,STAT1	23 (11)
IL1B	 	cytokine	Activated	2.458	5.47E-06	IFIT3,ISG15,MX1,NFKBIA,OAS2,S100A8,S100A9,STAT1,TPT1,TXNIP	23 (10)
IKZF1	 	transcription regulator	 	-0.600	5.78E-06	CD8A,IFI6,IFIT3,IL7R,RNF213,TXNIP	 
MYC	 	transcription regulator	Inhibited	-2.333	6.90E-06	EEF2,IFI44,IFI44L,IFI6,IFIT3,MX1,NFKBIA,SP100,STAT1,TMSB10/TMSB4X,TXNIP	19 (4)
calcitriol	 	chemical drug	 	1.440	7.34E-06	IFI44L,ISG15,MX1,NFKBIA,S100A8,S100A9,SLC25A6,TXNIP	8 (2)
Immunoglobulin	 	complex	 	-1.506	9.08E-06	CD8A,EIF2AK2,IFIT3,IL7R,NFKBIA,OAS2,S100A8,S100A9	22 (12)
IRF4	 	transcription regulator	 	0.277	9.47E-06	HSPA8,IL7R,ISG15,STAT1,TCF7	 
CGAS	 	enzyme	 	 	9.52E-06	IFI44,IFIT3,ISG15	 
IFNK	 	cytokine	 	 	9.52E-06	EIF2AK2,MX1,STAT1	 
poly dA-dT	 	chemical reagent	 	 	1.09E-05	ISG15,NFKBIA,STAT1	 
SATB1	 	transcription regulator	 	-1.287	1.24E-05	ACTG1,CD8A,HSPA8,IL7R,XAF1	 
MAP3K7	 	kinase	 	1.000	1.26E-05	IFI44,IFIT3,OAS2,XAF1	14 (4)
NFKBIA	0.338	transcription regulator	 	1.446	1.29E-05	HSPA8,IFI6,IL7R,ISG15,NFKBIA,S100A8,S100A9	19 (9)
EPO	 	cytokine	 	 	1.42E-05	CD52,EEF1A1,NACA,NFKBIA,TPT1,TXNIP	 
IL21	 	cytokine	Activated	2.200	1.64E-05	EIF2AK2,IFIT3,IL7R,ISG15,OAS2	11 (8)
NPC1	 	transporter	 	 	1.76E-05	CD8A,S100A8,S100A9,STAT1	 
miR-499a-5p inhibitor	 	chemical reagent	 	 	1.92E-05	EIF2AK2,MX1	 
miR-208b inhibitor	 	chemical reagent	 	 	1.92E-05	EIF2AK2,MX1	 
IKBKE	 	kinase	 	0.000	1.93E-05	ADAR,IFIT3,NFKBIA,STAT1	 
POLG	 	enzyme	 	 	1.95E-05	EEF1B2,RACK1,TPT1	 
rosiglitazone	 	chemical drug	 	0.378	2.03E-05	IFIT3,IL7R,OAS2,OAS3,S100A8,S100A9,STAT1	26 (13)
ETV6-RUNX1	 	fusion gene/product	 	-1.455	2.13E-05	IFI6,IFIT3,ISG15,OAS2,STAT1,TRAC	16 (4)
USP18	 	peptidase	 	 	2.16E-05	IFI6,ISG15,MX1	14 (5)
R5020	 	chemical reagent	 	 	2.20E-05	IFIT3,NFKBIA,STAT1,TXNIP	 
3M-011	 	chemical reagent	 	 	2.89E-05	ISG15,MX1,STAT1	15 (7)
5-fluorouracil	 	chemical drug	 	1.347	2.90E-05	EEF2,HSPA8,NACA,SLC25A6,TMSB10/TMSB4X,TXNIP	 
DNASE2	 	enzyme	 	 	3.17E-05	IFIT3,ISG15,OAS3	 
ELAVL1	 	other	 	 	3.32E-05	IFI44,NFKBIA,OAS2,RACK1,STAT1	 
tetradecanoylphorbol acetate	 	chemical drug	 	1.767	4.03E-05	CD52,EEF1D,EIF2AK2,IL7R,ISG15,NFKBIA,RACK1,S100A8,S100A9,STAT1	12 (3)
3M-001	 	chemical drug	 	 	4.10E-05	ISG15,MX1,STAT1	15 (7)
TRIM24	 	transcription regulator	 	-1.941	4.64E-05	IFI44,IFIT3,ISG15,STAT1	16 (7)
pervanadate	 	chemical reagent	 	 	4.78E-05	MX1,NFKBIA	 
IL12RB1	 	transmembrane receptor	 	 	4.78E-05	IFI6,OAS2	 
RUNX1	 	transcription regulator	 	 	6.36E-05	IL7R,ISG15,OAS3,S100A9,STAT1	15 (3)
poly(dG-dC)	 	chemical reagent	 	 	6.68E-05	ISG15,STAT1	 
CLEC12A	 	other	 	 	6.68E-05	IFIT3,ISG15	 
tofacitinib	 	chemical drug	 	 	6.68E-05	IFIT3,ISG15	 
ISG15	0.340	other	 	 	6.68E-05	IFI6,MX1	 
VDR	 	transcription regulator	 	1.342	6.75E-05	IFI44L,ISG15,S100A8,S100A9,TXNIP	 
hexamethylene bisacetamide	 	chemical reagent	 	 	7.92E-05	HSPA8,IFIT3,RACK1	 
SIRT1	 	transcription regulator	Inhibited	-2.449	8.66E-05	ADAR,IFI44,IFIT3,OAS2,RNF213,STAT1	14 (4)
HDAC11	 	transcription regulator	 	 	8.90E-05	EIF2AK2,ISG15	 
ETV6-NTRK3	 	fusion gene/product	 	 	8.90E-05	IFIT3,STAT1	 
cigarette smoke	 	chemical toxicant	 	1.149	9.52E-05	MX1,NFKBIA,OAS2,OAS3,STAT1	18 (7)
IFN type 1	 	group	 	 	1.08E-04	EIF2AK2,ISG15,STAT1	16 (9)
CASR	 	G-protein coupled receptor	Activated	2.000	1.09E-04	ISG15,S100A8,S100A9,TXNIP	 
L-methionine	 	chemical - endogenous mammalian	 	 	1.28E-04	EEF1A1,EEF1D,NFKBIA	 
IL7	 	cytokine	 	0.089	1.43E-04	CD8A,CD8B,IL7R,MX1	 
MSC	 	transcription regulator	 	 	1.51E-04	IFI44,IFI44L,XAF1	 
GFI1	 	transcription regulator	 	-0.689	1.51E-04	EIF2AK2,IL7R,NFKBIA,STAT1	 
MYCN	 	transcription regulator	 	-1.342	1.57E-04	ACTG1,EEF1A1,EEF1D,EEF2,NACA	 
IL12B	 	cytokine	 	 	1.67E-04	S100A8,S100A9,STAT1	 
ISGF3	 	complex	 	 	1.74E-04	EIF2AK2,ISG15	 
TMEM173	 	other	 	 	1.84E-04	IFI44,IFIT3,ISG15	15 (6)
DDB2	 	other	 	 	2.09E-04	EIF2AK2,NFKBIA	 
MUC1	 	other	 	 	2.23E-04	IFIT3,NFKBIA,STAT1	 
S100A9	0.439	other	 	 	2.50E-04	ISG15,S100A8,S100A9,TXNIP	 
Map3k7	 	kinase	 	 	2.54E-04	ISG15,NFKBIA,S100A9	7 (2)
DOCK8	 	other	 	 	2.66E-04	IFIT3,ISG15,STAT1	 
PLAU	 	peptidase	 	 	2.66E-04	OAS3,S100A8,S100A9	 
fluticasone propionate	 	chemical drug	 	-1.000	2.67E-04	MX1,OAS2,S100A8,STAT1	 
JAK1	 	kinase	 	 	2.77E-04	EIF2AK2,MX1,STAT1	 
IFNA10	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
IFNA21	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
IFNA5	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
IFNA17	 	cytokine	 	 	2.87E-04	EIF2AK2,MX1	 
trametinib	 	chemical drug	 	 	2.87E-04	ISG15,MX1	 
IFNA7	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
CBS/CBSL	 	enzyme	 	 	2.87E-04	EEF1A1,EEF1D	 
IFNA14	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
IFNA6	 	cytokine	 	 	2.87E-04	ISG15,MX1	 
JAK1/2	 	group	 	 	2.89E-04	EIF2AK2,ISG15,MX1	 
SASH1	 	other	 	 	2.89E-04	IFIT3,ISG15,STAT1	 
IKZF3	 	transcription regulator	 	 	2.89E-04	IFI6,IFIT3,RNF213	 
linoleic acid	 	chemical - endogenous mammalian	 	 	3.01E-04	NFKBIA,S100A8,S100A9	7 (2)
imatinib	 	chemical drug	 	-0.440	3.06E-04	EIF4B,HSPA8,IFIT3,SLC25A6,STAT1	 
BRCA1	 	transcription regulator	 	 	3.11E-04	IFI6,IFIT3,MX1,STAT1	20 (8)
E. coli lipopolysaccharide	 	chemical - endogenous non-mammalian	 	 	3.14E-04	MX1,S100A8,S100A9	10 (3)
AGER	 	transmembrane receptor	 	 	3.14E-04	S100A8,S100A9,TXNIP	 
S100A8	0.386	other	 	 	3.17E-04	ISG15,NFKBIA,S100A8,TXNIP	 
MRTFA	 	transcription regulator	 	-0.594	3.24E-04	ACTG1,S100A8,S100A9,STAT1	5 (3)
TAP1	 	transporter	 	 	3.31E-04	EIF2AK2,MX1	 
IFNA8	 	cytokine	 	 	3.31E-04	ISG15,MX1	 
TREX1	 	enzyme	 	 	3.31E-04	IFI44,ISG15	 
IFNA16	 	cytokine	 	 	3.31E-04	ISG15,MX1	 
IFI16	 	transcription regulator	 	 	3.53E-04	IL7R,ISG15,NFKBIA	10 (4)
cerivastatin	 	chemical drug	 	 	3.67E-04	S100A8,S100A9,TMSB10/TMSB4X	 
NOS2	 	enzyme	 	1.982	3.81E-04	IFIT3,ISG15,NFKBIA,S100A8	 
PRNP	 	other	 	 	3.82E-04	HSPA8,NFKBIA,TCF7	 
fontolizumab	 	biologic drug	 	 	4.28E-04	ISG15,MX1	 
KLK5	 	peptidase	 	 	4.28E-04	S100A8,S100A9	 
sirolimus	 	chemical drug	 	0.186	4.47E-04	EEF1A1,EEF2,EIF2AK2,ISG15,RACK1,STAT1	7 (2)
CFTR	 	ion channel	 	 	4.74E-04	NFKBIA,S100A8,STAT1	 
OPA1	 	enzyme	 	 	4.81E-04	S100A8,S100A9	 
NFATC2	 	transcription regulator	Activated	2.000	5.36E-04	IFIT3,ISG15,NFKBIA,STAT1	5 (2)
IL17R	 	complex	 	 	5.37E-04	S100A8,S100A9	 
ZBP1	 	other	 	 	5.37E-04	ISG15,NFKBIA	 
TEK	 	kinase	 	 	5.37E-04	S100A8,S100A9	 
ACTB	 	other	 	 	5.37E-04	ACTG1,IFI6	 
ZFP36	 	transcription regulator	 	 	5.80E-04	NFKBIA,S100A8,S100A9	10 (3)
SAMSN1	 	other	 	 	5.99E-04	IFIT3,ISG15,STAT1	 
TLR4	 	transmembrane receptor	 	1.954	6.56E-04	IFIT3,ISG15,MX1,NFKBIA,STAT1	21 (12)
SCGB1A1	 	cytokine	 	 	6.58E-04	S100A8,S100A9	 
ETS1	 	transcription regulator	 	 	6.85E-04	EEF1D,HSPA8,IL7R,SP100	 
CREBBP	 	transcription regulator	 	 	6.95E-04	GIMAP7,IL7R,ISG15,NFKBIA,OAS3	7 (3)
olanzapine	 	chemical drug	 	 	7.22E-04	HSPA8,S100A8,S100A9	 
ORMDL3	 	other	 	 	7.23E-04	OAS2,OAS3	 
ESR1	 	ligand-dependent nuclear receptor	Inhibited	-2.121	7.60E-04	IFI44,IFI44L,IFI6,MX1,NFKBIA,S100A9,SP100,STAT1,TXNIP	24 (10)
2-aminopurine	 	chemical reagent	 	 	7.91E-04	IFI6,ISG15	 
SGPL1	 	enzyme	 	 	7.91E-04	ISG15,MX1	 
MKNK1	 	kinase	 	 	8.12E-04	EEF1D,ISG15,TXNIP	 
TNFSF12	 	cytokine	 	 	9.09E-04	NFKBIA,S100A8,S100A9	7 (2)
PIK3CG	 	kinase	 	 	9.34E-04	CD8A,OAS2,STAT1	 
Saa3	 	other	 	 	9.35E-04	S100A8,S100A9	 
NFKBIZ	 	transcription regulator	 	 	9.35E-04	S100A8,S100A9	 
COMMD1	 	transporter	 	 	9.35E-04	NFKBIA,STAT1	4 (2)
lenalidomide	 	chemical drug	 	1.000	1.00E-03	ACTG1,IFI6,IFIT3,RNF213	7 (3)
ADAMTS12	 	peptidase	 	 	1.01E-03	S100A8,S100A9	 
peptidoglycan	 	chemical - endogenous non-mammalian	 	 	1.07E-03	S100A8,S100A9,TMSB10/TMSB4X	 
p70 S6k	 	group	 	 	1.09E-03	EEF1A1,EEF2	 
IL17C	 	cytokine	 	 	1.09E-03	S100A8,S100A9	 
EP300	 	transcription regulator	 	 	1.12E-03	GIMAP7,IL7R,NFKBIA,OAS3,TXNIP	7 (3)
KITLG	 	growth factor	 	 	1.16E-03	EEF1A1,NFKBIA,TPT1,TXNIP	 
RNASEL	 	enzyme	 	 	1.17E-03	EIF2AK2,ISG15	 
DUSP1	 	phosphatase	 	 	1.21E-03	IFIT3,MX1,S100A9	 
cyclosporin A	 	biologic drug	 	-1.342	1.26E-03	CD8B,NFKBIA,S100A9,TMSB10/TMSB4X,XAF1	 
IFNL3	 	cytokine	 	 	1.26E-03	MX1,STAT1	 
B2M	 	transmembrane receptor	 	 	1.26E-03	CD8A,CD8B	 
hemozoin	 	chemical - endogenous non-mammalian	 	 	1.26E-03	S100A8,S100A9	 
CEBPA	 	transcription regulator	 	-0.277	1.28E-03	IFI6,ISG15,OAS2,S100A8,S100A9	 
mir-155	 	microRNA	 	 	1.30E-03	IFIT3,MX1,STAT1	18 (10)
RPSA	 	translation regulator	 	 	1.35E-03	ISG15,STAT1	4 (2)
Alpha catenin	 	group	 	 	1.37E-03	NFKBIA,S100A8,S100A9	 
CLDN7	 	other	 	 	1.43E-03	IFI44,IFI6,MX1	 
vorinostat	 	chemical drug	 	0.762	1.45E-03	CD8A,NFKBIA,S100A8,S100A9	15 (8)
SB203580	 	chemical - kinase inhibitor	Inhibited	-2.219	1.50E-03	EIF2AK2,IFIT3,ISG15,MX1,STAT1	19 (12)
NFKB1	 	transcription regulator	 	 	1.53E-03	ISG15,NFKBIA,RACK1,STAT1	 
Histone h3	 	group	 	 	1.58E-03	IFI6,MX1,NFKBIA,S100A8,S100A9	13 (4)
IL23A	 	cytokine	 	 	1.63E-03	S100A8,S100A9	 
IL17RA	 	transmembrane receptor	 	 	1.63E-03	S100A8,S100A9	 
E. coli B4 lipopolysaccharide	 	chemical toxicant	 	0.762	1.70E-03	IFIT3,NFKBIA,PARP9,TXNIP	 
2'-adenylic acid	 	chemical - endogenous mammalian	 	 	1.81E-03	TXNIP	 
DNAJC24	 	other	 	 	1.81E-03	EEF2	 
MACROD1	 	enzyme	 	 	1.81E-03	NFKBIA	 
DPH2	 	enzyme	 	 	1.81E-03	EEF2	 
recombinant interferon alpha	 	biologic drug	 	 	1.81E-03	RNF213	 
