© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.03E00	2.56E-02	NaN	CALM1 (includes others),LTB,MAPKAPK2,MYD88,NFKBIA,PDIA3,STAT3,TCF4	
Granzyme B Signaling	2.02E00	1.25E-01	NaN	GZMB,LMNB1	
Natural Killer Cell Signaling	1.97E00	3.05E-02	1.633	HLA-E,HSPA5,HSPA8,MYD88,TNFSF10,TYROBP	
Leukocyte Extravasation Signaling	1.97E00	3.05E-02	1.342	ACTB,ARHGAP9,CTNNA1,CYBA,MSN,SELPLG	
Communication between Innate and Adaptive Immune Cells	1.9E00	4.17E-02	NaN	CD4,HLA-DRA,HLA-DRB5,HLA-E	
Calcium Signaling	1.88E00	2.91E-02	NaN	ATP2A2,CALM1 (includes others),CALR,HDAC9,ITPR2,TPM4	
Apoptosis Signaling	1.85E00	4.04E-02	-1.000	LMNA,MCL1,NAIP,NFKBIA	
Inflammasome pathway	1.83E00	1E-01	NaN	MYD88,NAIP	
Necroptosis Signaling Pathway	1.79E00	3.18E-02	0.447	EIF2AK2,JAK1,SLC25A6,STAT1,TNFSF10	
CNTF Signaling	1.79E00	5.26E-02	NaN	JAK1,STAT1,STAT3	
Endoplasmic Reticulum Stress Pathway	1.79E00	9.52E-02	NaN	CALR,HSPA5	
Actin Cytoskeleton Signaling	1.77E00	2.75E-02	2.236	ACTB,ACTR3,FLNA,GSN,MSN,TMSB10/TMSB4X	
MSP-RON Signaling Pathway	1.77E00	5.17E-02	NaN	ACTB,CCR2,IL3RA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.76E00	2.73E-02	NaN	CALM1 (includes others),CSF1R,GSN,NAIP,NFKBIA,TCF4	
Polyamine Regulation in Colon Cancer	1.75E00	9.09E-02	NaN	PSME2,TCF4	
Telomerase Signaling	1.74E00	3.74E-02	NaN	ETS2,HDAC9,HSP90AA1,HSP90AB1	
Retinoic acid Mediated Apoptosis Signaling	1.73E00	5E-02	NaN	PARP14,PARP9,TNFSF10	
Sperm Motility	1.73E00	2.69E-02	0.000	CALM1 (includes others),CSF1R,GNAS,ITPR2,JAK1,PDIA3	
Pancreatic Adenocarcinoma Signaling	1.72E00	3.67E-02	0.000	JAK1,PLD4,STAT1,STAT3	
Induction of Apoptosis by HIV1	1.71E00	4.92E-02	NaN	NAIP,NFKBIA,SLC25A6	
Sirtuin Signaling Pathway	1.7E00	2.41E-02	0.000	APP,H1-0,LDHA,LDHB,PGK1,SLC25A6,STAT3	
cAMP-mediated signaling	1.69E00	2.63E-02	1.342	AKAP9,CALM1 (includes others),DUSP1,GNAS,RGS2,STAT3	
CD40 Signaling	1.64E00	4.62E-02	NaN	MAPKAPK2,NFKBIA,STAT3	
IL-17A Signaling in Airway Cells	1.64E00	4.62E-02	NaN	JAK1,NFKBIA,STAT3	
Gluconeogenesis I	1.61E00	7.69E-02	NaN	ENO1,PGK1	
Cell Cycle: G1/S Checkpoint Regulation	1.61E00	4.48E-02	NaN	ATM,CUL1,HDAC9	
Remodeling of Epithelial Adherens Junctions	1.59E00	4.41E-02	NaN	ACTB,ACTR3,CTNNA1	
Acute Phase Response Signaling	1.58E00	2.79E-02	1.000	MYD88,NFKBIA,SERPINF1,STAT3,TCF4	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.57E00	4.35E-02	NaN	JAK1,STAT1,STAT3	
RhoGDI Signaling	1.57E00	2.78E-02	-0.447	ACTB,ACTR3,ARHGAP9,GNAS,MSN	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.56E00	3.28E-02	0.000	LTB,MAPKAPK2,PSME2,TNFSF10	
Diphthamide Biosynthesis	1.56E00	3.33E-01	NaN	EEF2	
GM-CSF Signaling	1.56E00	4.29E-02	NaN	RACK1,STAT1,STAT3	
IL-6 Signaling	1.52E00	3.2E-02	0.000	MAPKAPK2,MCL1,NFKBIA,STAT3	
Caveolar-mediated Endocytosis Signaling	1.51E00	4.11E-02	NaN	ACTB,FLNA,HLA-E	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.51E00	4.11E-02	NaN	GNAS,ITPR2,PDIA3	
TNFR2 Signaling	1.5E00	6.67E-02	NaN	NAIP,NFKBIA	
Colorectal Cancer Metastasis Signaling	1.5E00	2.37E-02	0.000	GNAS,IFNGR1,JAK1,STAT1,STAT3,TCF4	
Synaptic Long Term Potentiation	1.48E00	3.1E-02	1.000	CALM1 (includes others),ITPR2,PDIA3,PPP1R14B	
White Adipose Tissue Browning Pathway	1.48E00	3.1E-02	-1.000	FCER1A,GNAS,LDHA,LDHB	
PPARα/RXRα Activation	1.48E00	2.63E-02	NaN	GNAS,HSP90AA1,HSP90AB1,NFKBIA,PDIA3	
TREM1 Signaling	1.48E00	4E-02	NaN	MYD88,STAT3,TYROBP	
IL-15 Signaling	1.48E00	4E-02	NaN	GZMB,JAK1,STAT3	
ILK Signaling	1.48E00	2.63E-02	-0.447	ACTB,FLNA,NACA,PPP1R14B,TMSB10/TMSB4X	
Phospholipase C Signaling	1.47E00	2.33E-02	NaN	AHNAK,CALM1 (includes others),GNAS,HDAC9,ITPR2,PLD4	
Toll-like Receptor Signaling	1.46E00	3.95E-02	NaN	EIF2AK2,MYD88,NFKBIA	
Clathrin-mediated Endocytosis Signaling	1.45E00	2.59E-02	NaN	ACTB,ACTR3,HSPA8,S100A8,SH3KBP1	
ERK/MAPK Signaling	1.45E00	2.59E-02	2.236	DUSP1,ETS2,PPP1R14B,STAT1,STAT3	
IL-12 Signaling and Production in Macrophages	1.45E00	3.03E-02	NaN	IFNGR1,MYD88,S100A8,STAT1	
RAR Activation	1.45E00	2.58E-02	NaN	ACTB,DUSP1,IL3RA,MAPKAPK2,PNRC1	
IL-7 Signaling Pathway	1.44E00	3.85E-02	NaN	JAK1,MCL1,STAT1	
Glutathione Redox Reactions II	1.43E00	2.5E-01	NaN	PDIA3	
Androgen Signaling	1.41E00	2.94E-02	NaN	CALM1 (includes others),CALR,GNAS,HSP90AA1	
Role of BRCA1 in DNA Damage Response	1.41E00	3.75E-02	NaN	ACTB,ATM,STAT1	
JAK/Stat Signaling	1.41E00	3.75E-02	NaN	JAK1,STAT1,STAT3	
Iron homeostasis signaling pathway	1.4E00	2.92E-02	NaN	CD163,CUL1,JAK1,STAT3	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.4E00	5.88E-02	NaN	GZMB,HLA-E	
MIF-mediated Glucocorticoid Regulation	1.4E00	5.88E-02	NaN	CD74,NFKBIA	
Cyclins and Cell Cycle Regulation	1.4E00	3.7E-02	NaN	ATM,CUL1,HDAC9	
PI3K Signaling in B Lymphocytes	1.39E00	2.9E-02	0.000	CALM1 (includes others),ITPR2,NFKBIA,PDIA3	
NF-κB Activation by Viruses	1.38E00	3.66E-02	NaN	CD4,EIF2AK2,NFKBIA	
PEDF Signaling	1.38E00	3.66E-02	NaN	NFKBIA,SERPINF1,TCF4	
TWEAK Signaling	1.37E00	5.71E-02	NaN	NAIP,NFKBIA	
Cardiac β-adrenergic Signaling	1.36E00	2.84E-02	NaN	AKAP9,ATP2A2,GNAS,PPP1R14B	
Osteoarthritis Pathway	1.32E00	2.37E-02	NaN	ANXA2,CTNNA1,S100A8,S100A9,TCF4	
Docosahexaenoic Acid (DHA) Signaling	1.31E00	5.26E-02	NaN	APP,SERPINF1	
RANK Signaling in Osteoclasts	1.31E00	3.41E-02	NaN	CALM1 (includes others),GSN,NFKBIA	
Acute Myeloid Leukemia Signaling	1.29E00	3.37E-02	NaN	CSF1R,STAT3,TCF4	
Role of NFAT in Cardiac Hypertrophy	1.29E00	2.34E-02	0.000	CALM1 (includes others),GNAS,HDAC9,ITPR2,PDIA3	
Antiproliferative Role of TOB in T Cell Signaling	1.29E00	5.13E-02	NaN	CUL1,PABPC1	
Prostate Cancer Signaling	1.27E00	3.3E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
IL-1 Signaling	1.27E00	3.3E-02	NaN	GNAS,MYD88,NFKBIA	
Epithelial Adherens Junction Signaling	1.26E00	2.63E-02	NaN	ACTB,ACTR3,CTNNA1,TCF4	
Ceramide Biosynthesis	1.26E00	1.67E-01	NaN	SPTLC2	
Lactose Degradation III	1.26E00	1.67E-01	NaN	PSAP	
Mechanisms of Viral Exit from Host Cells	1.25E00	4.88E-02	NaN	ACTB,LMNB1	
Regulation of Actin-based Motility by Rho	1.24E00	3.19E-02	NaN	ACTB,ACTR3,GSN	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.24E00	3.19E-02	NaN	ACTB,ACTR3,PLD4	
CCR5 Signaling in Macrophages	1.24E00	3.19E-02	NaN	CALM1 (includes others),CD4,GNAS	
MIF Regulation of Innate Immunity	1.23E00	4.76E-02	NaN	CD74,NFKBIA	
Regulation of eIF4 and p70S6K Signaling	1.22E00	2.55E-02	NaN	EIF1,EIF3F,EIF3L,PABPC1	
α-Adrenergic Signaling	1.21E00	3.12E-02	NaN	CALM1 (includes others),GNAS,ITPR2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.2E00	4.55E-02	NaN	DDX58,NFKBIA	
IL-23 Signaling Pathway	1.2E00	4.55E-02	NaN	NFKBIA,STAT3	
Mouse Embryonic Stem Cell Pluripotency	1.14E00	2.91E-02	NaN	JAK1,STAT3,TCF4	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.14E00	1.25E-01	NaN	TYMP	
PPAR Signaling	1.13E00	2.88E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
Molecular Mechanisms of Cancer	1.13E00	1.79E-02	NaN	ATM,CTNNA1,GNAS,JAK1,NAIP,NFKBIA,TCF4	
T Cell Receptor Signaling	1.12E00	2.86E-02	NaN	CALM1 (includes others),CD4,NFKBIA	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.12E00	4.08E-02	NaN	ATM,CUL1	
Virus Entry via Endocytic Pathways	1.1E00	2.8E-02	NaN	ACTB,FLNA,HLA-E	
Signaling by Rho Family GTPases	1.1E00	2.05E-02	0.447	ACTB,ACTR3,GNAS,MSN,SEPTIN9	
Primary Immunodeficiency Signaling	1.1E00	4E-02	NaN	CD4,TAP1	
TNFR1 Signaling	1.1E00	4E-02	NaN	NAIP,NFKBIA	
Pathogenesis of Multiple Sclerosis	1.09E00	1.11E-01	NaN	CCR1	
Antioxidant Action of Vitamin C	1.08E00	2.75E-02	NaN	NFKBIA,PDIA3,PLD4	
Opioid Signaling Pathway	1.08E00	2.02E-02	0.447	CALM1 (includes others),GNAS,ITPR2,NFKBIA,RGS1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.06E00	2.68E-02	NaN	GNAS,ITPR2,PDIA3	
Lymphotoxin β Receptor Signaling	1.06E00	3.77E-02	NaN	LTB,NFKBIA	
Estrogen Receptor Signaling	1.06E00	1.83E-02	-1.000	DDX5,GNAS,HSP90AA1,HSP90AB1,JAK1,PDIA3	
HIF1α Signaling	1.05E00	2.65E-02	NaN	HSP90AA1,LDHA,LDHB	
Calcium Transport I	1.05E00	1E-01	NaN	ATP2A2	
Role of IL-17A in Arthritis	1.03E00	3.64E-02	NaN	MAPKAPK2,NFKBIA	
Hepatic Cholestasis	1.02E00	2.16E-02	NaN	LTB,MYD88,NFKBIA,TNFSF10	
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.01E00	2.56E-02	NaN	APP,GZMB,HLA-E	
Renin-Angiotensin Signaling	1.01E00	2.54E-02	NaN	ITPR2,STAT1,STAT3	
p38 MAPK Signaling	1.01E00	2.54E-02	NaN	DUSP1,MAPKAPK2,STAT1	
Endothelin-1 Signaling	1E00	2.13E-02	-1.000	GNAS,ITPR2,PDIA3,PLD4	
IL-15 Production	9.83E-01	2.48E-02	NaN	CSF1R,JAK1,STAT1	
Glycogen Degradation II	9.75E-01	8.33E-02	NaN	TYMP	
CCR3 Signaling in Eosinophils	9.59E-01	2.42E-02	NaN	CALM1 (includes others),GNAS,ITPR2	
G-Protein Coupled Receptor Signaling	9.51E-01	1.84E-02	NaN	DUSP1,GNAS,NFKBIA,RGS2,STAT3	
Adrenomedullin signaling pathway	9.47E-01	2.03E-02	0.000	CALM1 (includes others),GNAS,ITPR2,PDIA3	
Atherosclerosis Signaling	9.43E-01	2.38E-02	NaN	CCR2,S100A8,SELPLG	
Gap Junction Signaling	9.39E-01	2.02E-02	NaN	ACTB,GNAS,ITPR2,PDIA3	
Senescence Pathway	9.36E-01	1.82E-02	-0.447	ATM,CALM1 (includes others),ETS2,ITPR2,MAPKAPK2	
Thrombopoietin Signaling	9.32E-01	3.17E-02	NaN	STAT1,STAT3	
Phospholipases	9.32E-01	3.17E-02	NaN	PDIA3,PLD4	
p70S6K Signaling	9.21E-01	2.33E-02	NaN	EEF2,JAK1,PDIA3	
DNA Double-Strand Break Repair by Homologous Recombination	9.1E-01	7.14E-02	NaN	ATM	
DNA Double-Strand Break Repair by Non-Homologous End Joining	9.1E-01	7.14E-02	NaN	ATM	
Glycogen Degradation III	9.1E-01	7.14E-02	NaN	TYMP	
Mitotic Roles of Polo-Like Kinase	9E-01	3.03E-02	NaN	HSP90AA1,HSP90AB1	
CREB Signaling in Neurons	8.89E-01	1.93E-02	0.000	CALM1 (includes others),GNAS,ITPR2,PDIA3	
Choline Biosynthesis III	8.83E-01	6.67E-02	NaN	PLD4	
Hepatic Fibrosis Signaling Pathway	8.83E-01	1.63E-02	0.816	CALM1 (includes others),JAK1,MYD88,NFKBIA,STAT3,TCF4	
mTOR Signaling	8.73E-01	1.9E-02	NaN	EIF3F,EIF3L,EIF4B,PLD4	
SPINK1 General Cancer Pathway	8.66E-01	2.9E-02	NaN	JAK1,STAT3	
Extrinsic Prothrombin Activation Pathway	8.57E-01	6.25E-02	NaN	THBD	
AMPK Signaling	8.51E-01	1.87E-02	NaN	ACTB,EEF2,GNAS,PPM1K	
Growth Hormone Signaling	8.48E-01	2.82E-02	NaN	STAT1,STAT3	
Hereditary Breast Cancer Signaling	8.45E-01	2.14E-02	NaN	ACTB,ATM,HDAC9	
Melatonin Signaling	8.39E-01	2.78E-02	NaN	CALM1 (includes others),PDIA3	
Ephrin B Signaling	8.39E-01	2.78E-02	NaN	CAP1,GNAS	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	8.39E-01	2.13E-02	NaN	DUSP1,PPM1K,PPP1R14B	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	8.39E-01	2.13E-02	NaN	DUSP1,PPM1K,PPP1R14B	
Aryl Hydrocarbon Receptor Signaling	8.24E-01	2.1E-02	NaN	ATM,HSP90AA1,HSP90AB1	
Leptin Signaling in Obesity	8.18E-01	2.7E-02	NaN	PDIA3,STAT3	
Corticotropin Releasing Hormone Signaling	8.12E-01	2.07E-02	NaN	CALM1 (includes others),GNAS,ITPR2	
FAT10 Signaling Pathway	8.1E-01	5.56E-02	NaN	PSME2	
Granzyme A Signaling	7.88E-01	5.26E-02	NaN	H1-0	
GADD45 Signaling	7.88E-01	5.26E-02	NaN	ATM	
DNA damage-induced 14-3-3σ Signaling	7.88E-01	5.26E-02	NaN	ATM	
Apelin Muscle Signaling Pathway	7.88E-01	5.26E-02	NaN	GNAS	
IL-17 Signaling	7.64E-01	2.5E-02	NaN	JAK1,MAPKAPK2	
FLT3 Signaling in Hematopoietic Progenitor Cells	7.64E-01	2.5E-02	NaN	STAT1,STAT3	
Prolactin Signaling	7.57E-01	2.47E-02	NaN	STAT1,STAT3	
3-phosphoinositide Degradation	7.52E-01	1.94E-02	NaN	DUSP1,PPM1K,PPP1R14B	
D-myo-inositol-5-phosphate Metabolism	7.47E-01	1.92E-02	NaN	DUSP1,PPM1K,PPP1R14B	
Huntington's Disease Signaling	7.4E-01	1.69E-02	NaN	HDAC9,HSPA5,HSPA8,PSME2	
