© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
1,2-dithiol-3-thione	 	chemical reagent	 	0.849	 	1.43E-05	ACTG1,HSP90B1,PDIA4,PDIA6,RACK1,XBP1	6 (2)
rituximab	 	biologic drug	 	 	 	1.46E-05	IGHG1,IGHM,MS4A1	 
MNT	 	transcription regulator	 	 	 	1.46E-05	CCND2,KLF6,TXNIP	 
IL15	 	cytokine	 	1.103	 	1.51E-05	CCND2,CD69,CD74,HSPA8,MKI67,NFKBIA,PDIA4,XBP1	29 (12)
IgG	 	complex	 	0.447	 	1.81E-05	CALR,CCND2,CD69,HLA-E,HSPA5,MS4A1	27 (9)
SIN3A	 	transcription regulator	 	 	 	1.86E-05	CCND2,HLA-DRA,KLF6,TXNIP	 
EDEM1	 	enzyme	 	 	 	1.89E-05	HSPA5,XBP1	 
SDF4	 	other	 	 	 	1.89E-05	HSPA5,XBP1	 
BCL3	 	transcription regulator	 	-0.927	 	1.98E-05	CD69,HLA-DQB1,IGHM,NFKBIA	13 (6)
YWHAZ	 	enzyme	 	 	 	1.99E-05	HSP90B1,HSPA5,XBP1	 
Pkc(s)	 	group	 	 	 	2.01E-05	HSP90B1,HSPA5,KLF6,MS4A1,PDIA4,XBP1	8 (2)
MUC1	 	other	 	 	 	2.24E-05	CCND2,HLA-DRA,MKI67,NFKBIA	20 (5)
PRDM1	 	transcription regulator	Activated	2.395	 	2.52E-05	CD74,HLA-DRA,IGHG1,IGHM,JCHAIN,XBP1	 
valproic acid	 	chemical drug	Activated	2.596	 	2.72E-05	CALR,CCND2,HSPA5,ITM2C,MS4A1,PDIA6,SEL1L3,XBP1	 
IGF1	 	growth factor	 	0.954	 	2.88E-05	CCND2,CD74,HSPA5,KLF6,MKI67,NFKBIA,TXNIP,XBP1	31 (13)
SAFB2	 	other	 	 	 	3.01E-05	HLA-C,HLA-DPB1,HLA-E	 
CD3	 	complex	 	1.919	 	3.03E-05	CCND2,CD69,CD74,HLA-DQB1,HSP90B1,HSPA5,HSPA8,NFKBIA,PDIA4	29 (13)
CSF2	 	cytokine	 	0.958	bias	3.10E-05	CCND2,CD69,CD74,HLA-DQB1,LTB,MKI67,NFKBIA,XBP1	26 (12)
decitabine	 	chemical drug	 	-1.237	 	3.12E-05	CCND2,CD79B,EEF1A1,HLA-C,HLA-E,HSPA5,KLF6,MKI67,NFKBIA,TMSB10/TMSB4X	20 (8)
ceruletide	 	biologic drug	 	 	 	3.42E-05	ACTG1,HSPA5,XBP1	 
IL7	 	cytokine	 	1.387	 	3.55E-05	CCND2,CD69,IGHM,LTB,XBP1	15 (5)
gentamicin	 	chemical drug	Activated	2.449	 	3.59E-05	CALR,EEF1A1,HSP90B1,HSPA5,KLF6,PDIA4	 
ATF6B	 	transcription regulator	 	 	 	3.78E-05	HSPA5,XBP1	7 (3)
USE1	 	other	 	 	 	3.78E-05	HSPA5,XBP1	3 (2)
dinaciclib	 	chemical drug	 	 	 	3.78E-05	HSPA5,XBP1	 
crocin	 	chemical drug	 	 	 	3.78E-05	HSPA5,XBP1	 
TAF12	 	transcription regulator	 	 	 	3.78E-05	HLA-DRA,JCHAIN	 
ATP2A1	 	transporter	 	 	 	3.78E-05	CALR,HSPA5	7 (3)
GSK-2606414	 	chemical reagent	 	 	 	3.78E-05	HSPA5,PDIA4	 
OSU-CG12	 	chemical reagent	 	 	 	3.78E-05	HSPA5,KLF6	 
SGPP2	 	phosphatase	 	 	 	3.86E-05	HSPA5,HSPA8,XBP1	 
TGFB1	 	growth factor	 	0.800	 	3.94E-05	AHNAK,CCND2,CD69,EEF1A1,HLA-DQB1,HSPA5,IGHM,MALAT1,MKI67,NFKBIA,RACK1,RPN2,TXNIP,UBE2J1,XBP1	22 (7)
RELB	 	transcription regulator	 	 	 	3.95E-05	IGHG1,IGHM,LTB,NFKBIA	12 (5)
HRAS	 	enzyme	 	1.000	 	4.08E-05	ACTG1,CCND2,CD69,HSPA8,IGKC,KLF6,NFKBIA,SSR3,TMSB10/TMSB4X	20 (6)
D-glucose	 	chemical - endogenous mammalian	 	-0.461	 	4.08E-05	CALR,CANX,CCND2,HSPA5,PDIA4,PDIA6,SSR3,TXNIP,XBP1	9 (2)
TNF	 	cytokine	 	-0.431	 	4.58E-05	CALR,CCND2,CD69,HLA-DRA,HLA-E,HSP90B1,HSPA5,HSPA8,IGKC,KLF6,LTB,NFKBIA,PDIA4,TP53INP1,TXNIP	36 (11)
PRNP	 	other	 	 	 	4.61E-05	HSP90B1,HSPA5,HSPA8,NFKBIA	10 (6)
IRF4	 	transcription regulator	 	 	 	5.01E-05	CANX,ELL2,HSPA8,MS4A1,XBP1	 
dithiothreitol	 	chemical reagent	 	 	 	5.98E-05	HSP90B1,HSPA5,LMAN1	6 (2)
F2	 	peptidase	Activated	2.425	bias	6.03E-05	CALR,CCND2,ELL2,KLF6,NFKBIA,PDIA4	31 (9)
FBXO32	 	enzyme	 	1.980	 	6.16E-05	CALR,CCND2,HSPA5,XBP1	 
Cathepsin	 	group	 	 	 	6.29E-05	CCND2,MKI67	 
ERN2	 	kinase	 	 	 	6.29E-05	HSPA5,XBP1	 
WFS1	 	enzyme	 	 	 	6.29E-05	HSPA5,XBP1	 
NPC1	 	transporter	 	 	 	6.75E-05	CD74,CD79B,HLA-DQB1,XBP1	 
homocysteine	 	chemical - endogenous mammalian	 	0.130	 	6.75E-05	EEF1A1,EEF1D,HSPA5,XBP1	 
4-phenylbutyric acid	 	chemical - endogenous mammalian	 	-1.937	 	7.72E-05	CALR,HSP90B1,HSPA5,XBP1	6 (2)
SLC13A1	 	transporter	 	0.000	 	8.79E-05	ACTG1,HSPA5,HSPA8,XBP1	 
resveratrol	 	chemical drug	 	-0.803	 	1.04E-04	CCND2,CD69,HSPA5,MALAT1,NFKBIA,XBP1	19 (10)
glucocorticoid	 	chemical drug	 	1.471	 	1.08E-04	CD69,CD74,CD79B,IGHM,NFKBIA,TXNIP	11 (3)
RELA	 	transcription regulator	 	 	 	1.17E-04	CD69,HSP90B1,IGHG1,IGHM,IGKC,LTB,NFKBIA	12 (5)
APP	 	other	 	-0.106	 	1.20E-04	ACTG1,CALR,CANX,CCND2,CD69,CD74,HLA-E,HSPA5,HSPA8,TP53INP1	27 (8)
ERBB2	 	kinase	 	 	 	1.23E-04	AHNAK,CCND2,ELL2,H4C3,JCHAIN,MAN1A1,MKI67,PDIA4,XBP1	 
Immunoglobulin Lambda Light Chain	 	group	 	 	 	1.32E-04	HSPA5,XBP1	 
TNFSF13	 	cytokine	 	 	 	1.32E-04	CCND2,IGHG1,XBP1	 
sorafenib	 	chemical drug	 	 	 	1.32E-04	CCND2,CD69,HSPA5	 
5-N-ethylcarboxamido adenosine	 	chemical reagent	 	0.152	 	1.58E-04	HLA-DQB1,HLA-DRA,KLF6,TXNIP	 
uranyl nitrate	 	chemical toxicant	 	0.000	 	1.69E-04	CANX,CD74,HSPA8,RACK1	 
ELAVL1	 	other	 	 	 	1.71E-04	JCHAIN,NFKBIA,RACK1,RPN2,TP53INP1	 
PNPLA8	 	enzyme	 	 	 	1.75E-04	HSP90B1,HSPA5	 
APOE	 	transporter	 	 	 	1.81E-04	CALR,CCND2,HSP90B1,HSPA5,TXNIP,XBP1	28 (15)
ALB	 	transporter	 	 	 	1.90E-04	HSPA5,IGHG1,XBP1	 
TXN	 	enzyme	 	 	 	1.90E-04	CCND2,MS4A1,NFKBIA	 
U73122	 	chemical reagent	 	 	 	1.90E-04	CCND2,HSPA5,XBP1	 
NFkB (complex)	 	complex	 	0.772	bias	2.10E-04	CCND2,CD69,CD74,ELL2,IGHG3,IGKC,LTB,NFKBIA	15 (7)
Z-LLL-CHO	 	chemical - protease inhibitor	 	1.283	 	2.10E-04	CCND2,HSP90B1,HSPA5,HSPA8,LMAN1,NFKBIA	25 (7)
SERPINA1	 	other	 	 	 	2.17E-04	HSP90B1,HSPA5,XBP1	16 (6)
BCL6	 	transcription regulator	 	-1.997	 	2.23E-04	CCND2,CD69,CD79B,KLF6,XBP1	20 (6)
RUNX1T1	 	transcription regulator	 	 	 	2.25E-04	CCND2,CD69	 
MSH2	 	enzyme	 	 	 	2.25E-04	IGHG1,IGKC	 
ETS1	 	transcription regulator	 	 	 	2.47E-04	CD69,CD79B,EEF1D,HSPA8,LTB	 
interferon beta-1a	 	biologic drug	 	 	 	2.61E-04	HLA-DPB1,IGHM,LTB,NFKBIA	 
IL24	 	cytokine	 	 	 	2.62E-04	HSP90B1,HSPA5,XBP1	 
CD86	 	transmembrane receptor	 	 	 	2.62E-04	CD69,NFKBIA,XBP1	8 (2)
AGN194204	 	chemical drug	Activated	2.000	 	2.69E-04	IGHM,KLF6,MAN1A1,MKI67,XBP1	 
SEMA4D	 	transmembrane receptor	 	 	 	2.81E-04	HLA-DQB1,IGHG1	 
NCK1	 	kinase	 	 	 	2.81E-04	CD69,HSPA5	 
palmitic acid	 	chemical - endogenous mammalian	 	-0.075	 	2.97E-04	EEF1A1,HSPA5,NFKBIA,TXNIP,XBP1	15 (11)
hydrogen peroxide	 	chemical - endogenous mammalian	 	1.709	 	3.04E-04	EEF1A1,HLA-DRA,HSPA5,PDIA4,TP53INP1,TXNIP,XBP1	7 (2)
TCR	 	complex	 	1.946	 	3.61E-04	CD69,ELL2,HSP90B1,HSPA5,NFKBIA,PDIA4	27 (10)
LY294002	 	chemical - kinase inhibitor	 	-1.937	 	3.62E-04	CCND2,CD69,CD74,H4C3,HSPA5,IGHM,NFKBIA	26 (13)
CDK9	 	kinase	 	 	 	3.69E-04	CCND2,HLA-DRA,NFKBIA	 
SH3KBP1	 	other	 	 	 	4.10E-04	CCND2,XBP1	10 (5)
BAP1	 	peptidase	 	 	 	4.10E-04	HSPA5,XBP1	 
SYVN1	 	transporter	 	0.000	bias	4.65E-04	HLA-C,IGHM,IGKC,RPN2	 
adenosine	 	chemical - endogenous mammalian	 	 	 	4.77E-04	CD69,HSPA5,TXNIP	4 (2)
BNIP3L	 	other	 	 	 	4.77E-04	CD79B,LTB,NFKBIA	 
CRBN	 	enzyme	 	 	 	4.84E-04	HSPA5,XBP1	 
RPL22	 	translation regulator	 	 	 	4.84E-04	HSPA5,XBP1	3 (3)
PSEN1	 	peptidase	 	 	 	4.88E-04	ACTG1,CANX,CD74,HLA-E,HSPA5,HSPA8	12 (4)
CD40LG	 	cytokine	 	0.601	bias	5.15E-04	CD69,HLA-DQB1,IGHG1,IGHG3,LTB,NFKBIA	23 (11)
GON4L	 	transcription regulator	 	 	 	5.64E-04	CCND2,MKI67	 
CBS/CBSL	 	enzyme	 	 	 	5.64E-04	EEF1A1,EEF1D	 
GTF2I	 	transcription regulator	 	 	 	5.64E-04	HSPA5,PDIA4	 
manganese	 	chemical - endogenous mammalian	 	 	 	5.64E-04	HSP90B1,HSPA5	 
PD98059	 	chemical - kinase inhibitor	 	-1.276	 	5.65E-04	CCND2,CD69,CD74,EEF1A1,HSPA5,MKI67,TXNIP	15 (4)
SIRT1	 	transcription regulator	 	-0.128	 	5.71E-04	CCND2,CD74,CD79B,HLA-DQB1,IGHM,JCHAIN	 
SPI1	 	transcription regulator	 	 	 	5.75E-04	CCND2,CD79B,HSPA8,MS4A1,RACK1	 
JAK2	 	kinase	 	 	 	5.86E-04	CCND2,JCHAIN,TP53INP1,TRAM1	 
tretinoin	 	chemical - endogenous mammalian	 	-1.270	 	6.21E-04	AHNAK,CALR,CCND2,CD74,EEF1A1,EEF1D,HLA-C,IGHM,JCHAIN,MS4A1,TMSB10/TMSB4X,XBP1	 
fluoride	 	chemical - endogenous mammalian	 	 	 	6.50E-04	HSPA5,XBP1	 
salubrinal	 	chemical reagent	 	 	 	6.50E-04	HSPA5,XBP1	 
SELENOS	 	other	 	 	 	6.50E-04	HSPA5,XBP1	 
SPTLC2	 	enzyme	 	 	 	6.50E-04	HSPA5,XBP1	 
SMC3	 	other	 	 	 	6.50E-04	HLA-DQB1,HLA-DRA	 
RFX5	 	transcription regulator	 	 	 	6.50E-04	CD74,HLA-DRA	 
monorden	 	chemical - endogenous non-mammalian	 	 	 	6.50E-04	HSP90B1,HSPA5	 
cytarabine	 	chemical drug	 	 	 	6.60E-04	CD69,LTB,TP53INP1	 
Igm	 	complex	 	 	 	6.89E-04	CCND2,CD69,XBP1	12 (5)
calphostin C	 	chemical - kinase inhibitor	 	 	 	6.89E-04	HSP90B1,HSPA5,PDIA4	8 (3)
MED1	 	transcription regulator	 	 	 	7.11E-04	CCND2,CD79B,NFKBIA,XBP1	 
EPHX2	 	enzyme	 	 	 	7.41E-04	HSPA5,XBP1	3 (3)
hydrogen sulfide	 	chemical - endogenous mammalian	 	 	 	7.41E-04	CD69,HSPA5	 
mannose	 	chemical - endogenous mammalian	 	 	 	7.41E-04	HSP90B1,HSPA5	 
2-deoxyglucose	 	chemical drug	 	 	 	7.50E-04	HSP90B1,HSPA5,TXNIP	 
tetradecanoylphorbol acetate	 	chemical drug	 	0.395	 	7.69E-04	CCND2,CD69,EEF1D,H4C3,HLA-DRA,HSPA5,KLF6,LTB,NFKBIA,RACK1	31 (11)
mir-21	 	microRNA	 	0.447	 	7.72E-04	CANX,IGHG1,IGHM,LTB,MKI67	 
MYCN	 	transcription regulator	 	-1.000	 	7.72E-04	ACTG1,CCND2,EEF1A1,EEF1D,PDIA4	 
ATF4	 	transcription regulator	 	1.969	bias	7.80E-04	CALR,CANX,HSP90B1,HSPA5	 
JAK1/2	 	group	 	 	 	7.82E-04	CD69,CD74,HLA-DRA	 
IL6	 	cytokine	 	1.958	 	7.99E-04	AHNAK,CD74,HSPA5,IGHM,JCHAIN,MKI67,NFKBIA,XBP1	29 (9)
linoleic acid	 	chemical - endogenous mammalian	 	 	 	8.14E-04	HSP90B1,HSPA5,NFKBIA	8 (3)
LGALS1	 	other	 	 	 	8.14E-04	CCND2,CD69,IGHM	 
miR-155-5p (miRNAs w/seed UAAUGCU)	 	mature microRNA	 	-1.941	bias	8.16E-04	CD69,TP53INP1,TRAM1,UBE2J1	 
NFE2L2	 	transcription regulator	 	0.816	 	8.18E-04	ACTG1,HSP90B1,PDIA4,PDIA6,RACK1,XBP1	 
nitrofurantoin	 	chemical drug	 	0.000	 	8.35E-04	ACTG1,EEF1A1,HSPA5,NFKBIA	 
CD70	 	cytokine	 	 	 	8.39E-04	CCND2,CD69	15 (5)
camptothecin	 	chemical drug	 	0.000	 	8.52E-04	EEF1A1,HLA-C,HLA-DQB1,HLA-E,HSPA5,NFKBIA,TP53INP1	 
butyric acid	 	chemical - endogenous mammalian	 	-1.387	 	8.98E-04	CCND2,CD79B,HLA-DRA,JCHAIN,MKI67,NFKBIA	 
TP53	 	transcription regulator	 	0.569	 	8.98E-04	CCND2,EEF1A1,HDLBP,HSPA5,HSPA8,KLF6,MKI67,NFKBIA,PDIA6,RPN2,TMSB10/TMSB4X,TP53INP1,XBP1	21 (10)
OPA1	 	enzyme	 	 	 	9.42E-04	HSPA5,XBP1	 
SEL1L	 	other	 	 	 	9.42E-04	HSPA5,XBP1	 
CREB3L1	 	transcription regulator	 	 	 	9.42E-04	HSP90B1,HSPA5	 
PI3K (complex)	 	complex	 	 	 	9.57E-04	CCND2,CD79B,NFKBIA,TXNIP,XBP1	21 (9)
fluticasone propionate	 	chemical drug	 	1.987	 	9.74E-04	CD74,HLA-DPA1,HLA-DPB1,HLA-DRA	 
CSF3	 	cytokine	 	1.000	 	1.04E-03	CCND2,HLA-DPA1,HLA-DRA,LTB	 
CREBZF	 	transcription regulator	 	 	 	1.05E-03	HSPA5,XBP1	 
TMBIM6	 	other	 	 	 	1.05E-03	HSPA5,XBP1	 
DPP-23	 	chemical reagent	 	 	 	1.05E-03	HSPA5,XBP1	 
PS-1145	 	chemical - kinase inhibitor	 	 	 	1.05E-03	HSPA5,NFKBIA	14 (3)
SMARCA4	 	transcription regulator	 	-1.000	bias	1.06E-03	AHNAK,CD74,HLA-C,HLA-DRA,HLA-E,IGHG1,SEL1L3	 
metformin	 	chemical drug	 	-1.199	 	1.06E-03	CCND2,HSPA5,NFKBIA,XBP1	20 (10)
MAP3K14	 	kinase	 	 	 	1.07E-03	LTB,NFKBIA,XBP1	 
DYSF	 	other	 	 	 	1.07E-03	ACTG1,CD74,HLA-DQB1	 
CXCL8	 	cytokine	 	 	 	1.15E-03	CD69,CD74,NFKBIA	12 (4)
CYB5R4	 	enzyme	 	 	 	1.17E-03	HSPA5,XBP1	 
ERVW-1	 	other	 	 	 	1.17E-03	HSPA5,XBP1	 
LY6E	 	other	 	 	 	1.17E-03	HLA-DRA,NFKBIA	 
PPP1R15A	 	other	 	 	 	1.17E-03	HSPA5,XBP1	 
ETV6-RUNX1	 	fusion gene/product	 	0.577	 	1.24E-03	H4C3,ITM2C,KLF6,LTB,MS4A1	 
BCOR	 	transcription regulator	 	 	 	1.29E-03	CD74,MS4A1	 
COL2A1	 	other	 	 	 	1.29E-03	HSPA5,XBP1	 
SIN3B	 	transcription regulator	 	 	 	1.29E-03	KLF6,TXNIP	 
NLRC5	 	transcription regulator	 	 	 	1.29E-03	HLA-C,HLA-E	 
