© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
tacrolimus	 	chemical drug	 	-1.091	 	2.81E-05	ABLIM1,FOS,LBH,NFKBIA,TTN	 
CD3	 	complex	 	1.762	bias	2.95E-05	ATM,FOS,IL7R,NFKBIA,SOCS3,STAT1,TCF7	12 (11)
E. coli B5 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	1.387	 	3.45E-05	FOS,IL7R,NFKBIA,PRDM1,SOCS3	11 (15)
TNFSF11	 	cytokine	 	1.865	bias	4.05E-05	FOS,NFKBIA,PRDM1,SOCS3,STAT1	14 (17)
teasaponin	 	chemical - endogenous non-mammalian	 	 	 	4.26E-05	NFKBIA,SOCS3	 
TCF7	-0.337	transcription regulator	 	 	 	4.29E-05	FOS,PRDM1,TCF7	 
SOCS1	 	other	 	-1.960	bias	5.13E-05	FOS,GBP5,SOCS3,STAT1	10 (11)
BRD4	 	kinase	 	 	 	5.13E-05	ABLIM1,FOS,IL7R,PRDM1	 
platelet activating factor	 	chemical - endogenous mammalian	 	 	 	6.52E-05	FOS,NFKBIA,SOCS3	10 (12)
SAFB	 	other	 	 	 	6.52E-05	CHD3,FOS,HLA-E	 
PI3K (complex)	 	complex	 	 	 	6.57E-05	FOS,IL7R,NFKBIA,PRDM1,SOCS3	9 (14)
alefacept	 	biologic drug	 	 	 	6.89E-05	IL7R,SOCS3,STAT1	 
IRF4	 	transcription regulator	 	0.924	 	7.77E-05	IL7R,PRDM1,STAT1,TCF7	 
CpG ODN 1668	 	chemical reagent	 	 	 	8.09E-05	PRDM1,SOCS3,STAT1	12 (13)
prostaglandin E2	 	chemical - endogenous mammalian	 	 	 	8.41E-05	FOS,IL7R,NFKBIA,PRDM1,SOCS3	9 (14)
EGR2	 	transcription regulator	 	 	 	8.56E-05	FOS,IL7R,PRDM1,SOCS3	12 (11)
Salmonella enterica serotype abortus equi lipopolysaccharide	 	chemical toxicant	 	0.000	bias	1.01E-04	IL7R,PRRC2C,RGS1,SOCS3	 
OSMR	 	transmembrane receptor	 	 	 	1.04E-04	FOS,GBP5,SOCS3	8 (5)
PTH	 	other	 	 	 	1.05E-04	AHNAK,FOS,RGS1,SOCS3	 
poly rI:rC-RNA	 	biologic drug	 	1.761	bias	1.10E-04	FOS,HLA-E,NFKBIA,RGS1,SOCS3,STAT1	11 (12)
EGF	 	growth factor	 	1.493	 	1.11E-04	ATM,FOS,IL7R,LDHA,SOCS3,STAT1	13 (14)
OSTM1	 	other	 	 	 	1.11E-04	FOS,PRDM1	 
CSF3	 	cytokine	 	1.188	 	1.18E-04	ERAP2,FOS,RGS1,SOCS3	 
CD3E	 	transmembrane receptor	 	 	 	1.19E-04	FOS,NFKBIA,STK4	 
IL21	 	cytokine	 	1.954	bias	1.21E-04	GBP5,IL7R,PRDM1,SOCS3	 
beta-estradiol	 	chemical - endogenous mammalian	 	1.338	 	1.22E-04	ABLIM1,ATM,DDX17,FOS,HLA-E,IL7R,LDHA,NFKBIA,RGS1,SOCS3,TTN	14 (9)
ESR1	 	ligand-dependent nuclear receptor	 	0.244	 	1.24E-04	ABLIM1,AHNAK,DDX17,FOS,HLA-E,NFKBIA,SON,STAT1,STK4	 
OSM	 	cytokine	 	0.158	 	1.28E-04	FOS,PRDM1,SOCS3,SON,STAT1,STK4	13 (13)
trovafloxacin	 	chemical drug	 	 	 	1.30E-04	FOS,NFKBIA,SOCS3	10 (7)
CST3	 	other	 	 	 	1.33E-04	FOS,NFKBIA	6 (4)
KLF2	 	transcription regulator	 	 	 	1.34E-04	IL7R,NFKBIA,PRDM1,STAT1	 
SRF	 	transcription regulator	 	-0.621	 	1.34E-04	FOS,LBH,MALAT1,TCF7,TTN	 
DOCK8	 	other	 	 	 	1.36E-04	ATM,RGS1,STAT1	 
JAK1	 	kinase	 	 	 	1.42E-04	FOS,SOCS3,STAT1	14 (19)
15-deoxy-delta-12,14 -PGJ 2	 	chemical - endogenous mammalian	 	 	 	1.46E-04	FOS,NFKBIA,SOCS3,STAT1	12 (15)
DDX58	 	enzyme	 	 	 	1.48E-04	AHNAK,SOCS3,STAT1	 
calcitriol	 	chemical drug	 	0.136	 	1.53E-04	ABLIM1,ATM,FOS,LBH,NFKBIA,SOCS3	9 (6)
Immunoglobulin	 	complex	 	0.883	 	1.80E-04	FOS,IL7R,NFKBIA,PRDM1,SOCS3,TTN	10 (15)
growth factor	 	group	 	 	 	1.83E-04	FOS,IL7R	 
IL10	 	cytokine	 	0.141	 	1.88E-04	FOS,IL7R,PRDM1,SOCS3,STAT1	14 (19)
TGFB1	 	growth factor	 	0.990	 	1.91E-04	AHNAK,ATM,FOS,LDHA,MALAT1,NFKBIA,PRDM1,SOCS3,SRSF5,STAT1	14 (12)
IRF3	 	transcription regulator	 	1.091	bias	1.96E-04	AHNAK,GBP5,STAT1,STK4	 
delta-9-tetrahydrocannabinol	 	chemical drug	 	 	 	2.03E-04	FOS,PRRC2C,SOCS3	 
IL18R1	 	transmembrane receptor	 	 	 	2.11E-04	SOCS3,STAT1	 
IL12 (complex)	 	complex	 	 	 	2.24E-04	FOS,IL7R,PRDM1,SOCS3	13 (15)
tetradecanoylphorbol acetate	 	chemical drug	 	1.506	 	2.39E-04	ATM,FOS,IL7R,LBH,NFKBIA,RGS1,SOCS3,STAT1	12 (11)
DPH5	 	enzyme	 	 	 	2.41E-04	NFKBIA,STAT1	 
CNTF	 	cytokine	 	 	 	2.43E-04	FOS,SOCS3,STAT1	10 (12)
CFTR	 	ion channel	 	 	 	2.43E-04	NFKBIA,SOCS3,STAT1	 
simvastatin	 	chemical drug	 	0.247	 	2.49E-04	FOS,NFKBIA,SOCS3,STAT1	12 (12)
RAF1	 	kinase	 	1.980	bias	2.63E-04	FOS,LDHA,PRDM1,RGS1	 
IL2	 	cytokine	 	1.983	 	2.65E-04	ATM,FOS,IL7R,PRDM1,SOCS3,TTN	12 (15)
TFRC	 	transporter	 	 	 	2.70E-04	FOS,LDHA,RGS1	 
Integrin	 	complex	 	 	 	2.73E-04	FOS,SOCS3	6 (8)
NCAM1	 	other	 	 	 	2.73E-04	MALAT1,NFKBIA	 
7-nitroindazole	 	chemical reagent	 	 	 	2.73E-04	FOS,NFKBIA	 
IKBKE	 	kinase	 	 	 	2.79E-04	LDHA,NFKBIA,STAT1	 
NFkB (complex)	 	complex	 	1.633	bias	2.88E-04	ERAP2,FOS,IL7R,NFKBIA,PRDM1,SOCS3	8 (11)
COL18A1	 	other	 	 	 	2.89E-04	FOS,LDHA,STAT1	 
ZFP36	 	transcription regulator	 	 	 	2.98E-04	FOS,NFKBIA,PRDM1	9 (10)
STAT4	 	transcription regulator	 	1.981	bias	3.02E-04	AHNAK,PRDM1,SOCS3,STAT1	 
DEF6	 	other	 	 	 	3.07E-04	FOS,PRDM1	12 (7)
PARP9	 	enzyme	 	 	 	3.07E-04	HLA-E,STAT1	 
helenalin	 	chemical - endogenous non-mammalian	 	 	 	3.07E-04	NFKBIA,PRDM1	 
SAMSN1	 	other	 	 	 	3.08E-04	ATM,SOCS3,STAT1	 
AG490	 	chemical - kinase inhibitor	 	 	 	3.29E-04	FOS,SOCS3,STAT1	12 (14)
palmitic acid	 	chemical - endogenous mammalian	 	-0.339	 	3.34E-04	FOS,NFKBIA,SOCS3,STK4	9 (12)
lipopolysaccharide	 	chemical drug	 	1.872	 	3.36E-04	DDX17,FOS,GBP5,IL7R,LDHA,NFKBIA,PRDM1,RGS1,SOCS3,STAT1	13 (16)
STAT6	 	transcription regulator	 	-0.469	 	3.42E-04	ABLIM1,AHNAK,GBP5,NFKBIA,TCF7	 
cuprizone	 	chemical toxicant	 	 	 	3.43E-04	FOS,SOCS3	 
IL1B	 	cytokine	 	1.701	 	3.52E-04	FOS,HLA-E,LDHA,NFKBIA,PRDM1,SOCS3,STAT1	17 (17)
KRAS	 	enzyme	 	-0.152	 	3.56E-04	AHNAK,FOS,LBH,LDHA,NFKBIA,STAT1	14 (9)
HDAC3	 	transcription regulator	 	 	 	3.72E-04	FOS,NFKBIA,PRDM1	9 (9)
imiquimod	 	chemical drug	 	 	 	3.72E-04	FOS,SOCS3,STAT1	14 (17)
bee venom	 	chemical - endogenous non-mammalian	 	 	 	3.83E-04	NFKBIA,RGS1,SOCS3	 
EP300	 	transcription regulator	 	 	 	3.89E-04	FOS,IL7R,LDHA,NFKBIA,SOCS3	12 (12)
RELA	 	transcription regulator	 	1.919	 	3.93E-04	ERAP2,FOS,IL7R,NFKBIA,PRDM1	12 (12)
NFKBIA	0.296	transcription regulator	 	1.461	 	4.05E-04	ERAP2,FOS,IL7R,NFKBIA,SOCS3	9 (10)
TNFSF10	 	cytokine	 	 	 	4.07E-04	FOS,NFKBIA,STAT1	8 (6)
IL15	 	cytokine	 	1.953	 	4.10E-04	IL7R,LDHA,NFKBIA,PRDM1,TCF7	 
FOXP3	 	transcription regulator	 	 	 	4.69E-04	IL7R,PRDM1,RGS1	 
BCL2	 	transporter	 	 	 	5.09E-04	FOS,NFKBIA,PRDM1	9 (8)
TLR3	 	transmembrane receptor	 	 	 	5.44E-04	FOS,RGS1,SOCS3,STAT1	13 (13)
poly dA-dT	 	chemical reagent	 	 	 	5.51E-04	NFKBIA,STAT1	 
rosiglitazone	 	chemical drug	 	0.000	 	5.57E-04	FOS,IL7R,LDHA,SOCS3,STAT1	12 (17)
JUN	 	transcription regulator	 	1.533	 	5.90E-04	FOS,IL7R,NFKBIA,SOCS3,STAT1	12 (14)
hyaluronic acid	 	chemical - endogenous mammalian	 	 	 	5.96E-04	FOS,NFKBIA,SOCS3	9 (12)
CCL3	 	cytokine	 	 	 	5.98E-04	FOS,STAT1	10 (5)
TRPV4	 	ion channel	 	 	 	5.98E-04	FOS,SOCS3	 
IGF1	 	growth factor	 	1.233	 	6.18E-04	ATM,FOS,LDHA,NFKBIA,SOCS3	14 (12)
MYD88	 	other	 	 	 	6.26E-04	ATM,FOS,NFKBIA,SOCS3	12 (13)
PLK2	 	kinase	 	 	 	6.47E-04	ATM,RGS1	 
acetylcholine	 	chemical - endogenous mammalian	 	 	 	6.47E-04	FOS,SOCS3	10 (5)
CSF2	 	cytokine	 	1.468	bias	6.48E-04	ATM,FOS,LDHA,NFKBIA,SOCS3	15 (17)
NFKB1	 	transcription regulator	 	 	 	6.52E-04	FOS,NFKBIA,RGS1,STAT1	10 (7)
Mt1	 	other	 	 	 	6.98E-04	FOS,NFKBIA	 
PLK4	 	kinase	 	 	 	6.98E-04	ATM,RGS1	 
GW3965	 	chemical reagent	 	 	 	7.09E-04	NFKBIA,RGS1,SOCS3	 
interferon beta-1a	 	biologic drug	 	 	 	7.26E-04	GBP5,NFKBIA,STAT1	 
STAT5B	 	transcription regulator	 	 	 	7.45E-04	AHNAK,ATM,FOS,SOCS3	 
geldanamycin	 	chemical - endogenous non-mammalian	 	0.000	 	7.55E-04	LBH,STAT1,STK4,TNRC6B	 
Akt	 	group	 	-0.038	 	7.95E-04	FOS,IL7R,NFKBIA,SOCS3	10 (10)
STAT5a/b	 	group	 	 	 	7.98E-04	FOS,PRDM1,SOCS3	13 (9)
dexamethasone	 	chemical drug	 	-0.269	 	7.99E-04	FOS,GBP5,IL7R,LDHA,LUC7L3,NFKBIA,RGS1,SOCS3,SRSF11,STAT1	14 (14)
IFNB1	 	cytokine	 	-0.019	 	8.26E-04	FOS,GBP5,PRDM1,STAT1	11 (10)
IL6	 	cytokine	Activated	2.189	 	8.36E-04	AHNAK,FOS,IL7R,NFKBIA,SOCS3,STAT1	12 (15)
EPO	 	cytokine	 	 	 	8.36E-04	FOS,NFKBIA,SOCS3,SON	9 (7)
resveratrol	 	chemical drug	 	 	 	8.58E-04	FOS,IL7R,MALAT1,NFKBIA	9 (7)
PML-RARA	 	fusion gene/product	 	 	 	8.63E-04	ATM,FOS	 
DICER1	 	enzyme	 	1.067	 	8.68E-04	FOS,IL7R,SOCS3,STAT1	8 (7)
MET	 	kinase	 	 	 	8.93E-04	ATM,FOS,SOCS3	3 (2)
LY294002	 	chemical - kinase inhibitor	 	-1.342	bias	9.06E-04	FOS,NFKBIA,RGS1,SOCS3,TTN	9 (8)
RAS	 	group	 	 	 	9.53E-04	FOS,PRDM1,STAT1	14 (11)
EBF1	 	transcription regulator	 	 	 	9.53E-04	PRDM1,SOCS3,STAT1	 
deferasirox	 	chemical drug	 	 	 	9.83E-04	FOS,RGS1	 
TNF	 	cytokine	 	1.452	 	1.03E-03	FOS,HLA-E,IL7R,LDHA,NFKBIA,PRDM1,RGS1,SOCS3,STAT1	16 (17)
IKBKG	 	kinase	 	 	 	1.04E-03	FOS,NFKBIA,SOCS3	8 (11)
Fgf	 	group	 	 	 	1.04E-03	FOS,STAT1	9 (6)
IRF8	 	transcription regulator	 	 	 	1.10E-03	FOS,PRDM1,STAT1	11 (12)
SP110	 	transcription regulator	 	 	 	1.10E-03	ATM,STAT1,TCF7	 
MEIS1	 	transcription regulator	 	 	 	1.11E-03	FOS,RGS1	 
ADRB	 	group	 	 	 	1.13E-03	FOS,LBH,NFKBIA	 
sulforafan	 	chemical drug	 	 	 	1.17E-03	FOS,NFKBIA,SOCS3	9 (13)
diclofenac	 	chemical drug	 	 	 	1.18E-03	FOS,LBH	 
PRKAA1	 	kinase	 	 	 	1.27E-03	LDHA,NFKBIA,SOCS3	 
GFI1	 	transcription regulator	 	 	 	1.29E-03	IL7R,NFKBIA,STAT1	 
SP1	 	transcription regulator	 	 	 	1.29E-03	ATM,FOS,NFKBIA,STAT1,TCF7	 
PDGF BB	 	complex	 	1.321	 	1.31E-03	FOS,HLA-E,RGS1,SOCS3	 
STAT	 	group	 	 	 	1.31E-03	FOS,SOCS3	 
CTF1	 	cytokine	 	 	 	1.31E-03	FOS,SOCS3	8 (9)
RBPJ	 	transcription regulator	 	 	 	1.32E-03	FOS,IL7R,PRDM1	 
JAK2	 	kinase	 	 	 	1.35E-03	FOS,SOCS3,STAT1	13 (14)
Z-LLL-CHO	 	chemical - protease inhibitor	 	0.171	 	1.38E-03	FOS,NFKBIA,PRDM1,STAT1	14 (12)
NSD2	 	enzyme	 	 	 	1.39E-03	FOS,STAT1	 
FOXO3	 	transcription regulator	 	 	 	1.40E-03	FOS,NFKBIA,PRDM1,STK4	 
N(6)-methyl-2'-deoxyadenosine	 	chemical reagent	 	 	 	1.45E-03	SOCS3	 
peptide YY 3-36	 	biologic drug	 	 	 	1.45E-03	FOS	 
G protein alpha	 	group	 	 	 	1.45E-03	FOS	 
growth factor receptor	 	group	 	 	 	1.45E-03	FOS	 
GSK 189254	 	chemical drug	 	 	 	1.45E-03	FOS	 
pridopidine	 	chemical drug	 	 	 	1.45E-03	FOS	 
SRF-ELK1	 	complex	 	 	 	1.45E-03	FOS	 
Ctf2	 	cytokine	 	 	 	1.45E-03	SOCS3	 
MACROD1	 	enzyme	 	 	 	1.45E-03	NFKBIA	 
exendin(9-39) amide	 	biologic drug	 	 	 	1.45E-03	FOS	 
RIF1	 	other	 	 	 	1.45E-03	PRDM1	 
FGF14	 	growth factor	 	 	 	1.45E-03	FOS	 
MBNL2	 	other	 	 	 	1.45E-03	ABLIM1	 
vasopressins	 	biologic drug	 	 	 	1.45E-03	FOS	 
mediator	 	complex	 	 	 	1.45E-03	FOS	 
ARHGEF17	 	other	 	 	 	1.45E-03	FOS	 
KIFAP3	 	other	 	 	 	1.45E-03	FOS	 
PPY	 	other	 	 	 	1.45E-03	FOS	 
GPHA2	 	other	 	 	 	1.45E-03	FOS	 
NPVF	 	other	 	 	 	1.45E-03	FOS	 
EPSTI1	 	other	 	 	 	1.45E-03	NFKBIA	 
SLC1A2	 	transporter	 	 	 	1.45E-03	FOS	 
GPHB5	 	other	 	 	 	1.45E-03	FOS	 
SCN7A	 	ion channel	 	 	 	1.45E-03	FOS	 
ANKS1A	 	other	 	 	 	1.45E-03	FOS	 
EPGN	 	growth factor	 	 	 	1.45E-03	FOS	 
TAX1BP3	 	transcription regulator	 	 	 	1.45E-03	FOS	 
RAB5B	 	enzyme	 	 	 	1.45E-03	FOS	 
cytarabine/filgrastim/fludarabine phosphate	 	biologic drug	 	 	 	1.45E-03	FOS	 
EXOSC10	 	kinase	 	 	 	1.45E-03	FOS	 
guanfacine	 	chemical drug	 	 	 	1.45E-03	FOS	 
ondansetron	 	chemical drug	 	 	 	1.45E-03	FOS	 
flurothyl	 	chemical drug	 	 	 	1.45E-03	FOS	 
L 733060	 	chemical reagent	 	 	 	1.45E-03	FOS	 
selfotel	 	chemical drug	 	 	 	1.45E-03	FOS	 
(R)-5-(2-azetidnylmethoxy)-2-chloropyridine	 	chemical drug	 	 	 	1.45E-03	FOS	 
GYKI 52466	 	chemical drug	 	 	 	1.45E-03	FOS	 
ONO-8711	 	chemical drug	 	 	 	1.45E-03	FOS	 
2-nitrophenyl EGTA	 	chemical reagent	 	 	 	1.45E-03	AHNAK	 
CTOP	 	chemical reagent	 	 	 	1.45E-03	FOS	 
Ac-DEVD-CHO	 	chemical reagent	 	 	 	1.45E-03	FOS	 
ibutamoren	 	chemical drug	 	 	 	1.45E-03	FOS	 
LY 354740	 	chemical drug	 	 	 	1.45E-03	FOS	 
droxidopa	 	chemical drug	 	 	 	1.45E-03	FOS	 
S(-)-carbidopa	 	chemical drug	 	 	 	1.45E-03	FOS	 
sarcosine	 	chemical - endogenous mammalian	 	 	 	1.45E-03	FOS	 
Pam3-Cys-Ser-Lys4	 	chemical reagent	 	 	 	1.45E-03	NFKBIA,RGS1,STAT1	4 (2)
NR1D1	 	ligand-dependent nuclear receptor	 	 	 	1.46E-03	FOS,STAT1	 
memantine	 	chemical drug	 	 	 	1.46E-03	FOS,NFKBIA	 
Tcf7	 	transcription regulator	 	 	 	1.53E-03	IL7R,PRDM1	 
propranolol	 	chemical drug	 	 	 	1.53E-03	FOS,NFKBIA	4 (3)
conjugated linoleic acid	 	chemical drug	 	 	 	1.61E-03	FOS,SOCS3	6 (4)
TLR7/8	 	group	 	 	 	1.61E-03	NFKBIA,RGS1	 
isoprenaline	 	chemical drug	 	 	 	1.61E-03	ABLIM1,FOS	 
pentoxifylline	 	chemical drug	 	 	 	1.61E-03	FOS,NFKBIA	6 (4)
JAK	 	group	 	 	 	1.77E-03	SOCS3,STAT1	2 (3)
GABPA	 	transcription regulator	 	 	 	1.77E-03	ATM,IL7R	 
RAC2	 	enzyme	 	 	 	1.85E-03	FOS,LDHA	 
TXN	 	enzyme	 	 	 	1.85E-03	FOS,NFKBIA	 
CTNNB1	 	transcription regulator	 	0.339	 	2.02E-03	ATM,DDX17,FOS,LBH,PRDM1,TCF7	6 (2)
SMARCA4	 	transcription regulator	 	 	 	2.02E-03	AHNAK,FOS,HLA-E,IL7R,RGS1	 
IL12A	 	cytokine	 	 	 	2.02E-03	SOCS3,STAT1	8 (6)
IFNA4	 	cytokine	 	 	 	2.02E-03	GBP5,HLA-E	 
stallimycin	 	biologic drug	 	 	 	2.02E-03	IL7R,STAT1	 
P38 MAPK	 	group	 	1.985	bias	2.04E-03	FOS,PRDM1,SOCS3,STAT1	11 (14)
ADIPOQ	 	other	 	 	 	2.05E-03	FOS,NFKBIA,SOCS3	9 (13)
DNMT3B	 	enzyme	 	 	 	2.08E-03	ATM,PRRC2C,STAT1	 
TNFAIP3	 	enzyme	 	 	 	2.11E-03	NFKBIA,SOCS3	8 (7)
FYN	 	kinase	 	 	 	2.11E-03	FOS,SOCS3	11 (10)
APP	 	other	 	 	 	2.14E-03	ATM,FOS,HLA-E,LDHA,SLFN5,SOCS3	9 (3)
HOXA9	 	transcription regulator	 	 	 	2.15E-03	IL7R,PRRC2C,SRSF11	 
TOB1	 	transcription regulator	 	 	 	2.20E-03	ATM,SON	 
JAK3	 	kinase	 	 	 	2.20E-03	IL7R,SOCS3	 
MAPK1	 	kinase	 	 	 	2.27E-03	FOS,GBP5,HLA-E,STAT1	8 (3)
IRF9	 	transcription regulator	 	 	 	2.29E-03	SOCS3,STAT1	2 (2)
BAPTA-AM	 	chemical reagent	 	 	 	2.29E-03	FOS,SOCS3	11 (10)
4-hydroxytamoxifen	 	chemical drug	 	 	 	2.33E-03	FOS,IL7R,NFKBIA	9 (10)
E. coli serotype 0127B8 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	 	 	2.36E-03	NFKBIA,SOCS3,STAT1	12 (10)
SQSTM1	 	transcription regulator	 	 	 	2.39E-03	ATM,NFKBIA	 
NLRX1	 	other	 	 	 	2.39E-03	NFKBIA,STAT1	 
RETN	 	other	 	 	 	2.39E-03	FOS,SOCS3	5 (6)
CREBBP	 	transcription regulator	 	 	 	2.42E-03	FOS,IL7R,NFKBIA,SOCS3	9 (9)
ionomycin	 	chemical reagent	 	 	 	2.48E-03	AHNAK,FOS,LDHA	 
H2AB3 (includes others)	 	other	 	 	 	2.48E-03	FOS,TRAF3IP3	 
TIMP3	 	other	 	 	 	2.48E-03	FOS,STAT1	 
topotecan	 	chemical drug	 	 	 	2.55E-03	CHD3,HLA-E,SON	 
ZBTB20	 	transcription regulator	 	 	 	2.58E-03	NFKBIA,SOCS3	 
carrageenan	 	chemical drug	 	 	 	2.58E-03	FOS,NFKBIA	 
PRKCD	 	kinase	 	 	 	2.59E-03	FOS,LBH,NFKBIA	 
bromodeoxyuridine	 	chemical drug	 	 	 	2.68E-03	IL7R,STAT1	 
PTPN1	 	phosphatase	 	 	 	2.68E-03	ATM,NFKBIA	 
MMP1	 	peptidase	 	 	 	2.78E-03	FOS,NFKBIA	6 (4)
thapsigargin	 	chemical toxicant	 	 	 	2.87E-03	FOS,LBH,NFKBIA	4 (3)
CDK9	 	kinase	 	 	 	2.88E-03	FOS,NFKBIA	3 (3)
IL2RG	 	transmembrane receptor	 	 	 	2.88E-03	FOS,IL7R	 
CLEC11A	 	growth factor	 	 	 	2.88E-03	FOS,LDHA	 
ginsenoside Rh2	 	chemical - endogenous non-mammalian	 	 	 	2.90E-03	FOS	 
epratuzumab	 	biologic drug	 	 	 	2.90E-03	PRDM1	 
Tap	 	complex	 	 	 	2.90E-03	HLA-E	 
MSK1/2	 	group	 	 	 	2.90E-03	FOS	 
PLA2	 	group	 	 	 	2.90E-03	FOS	 
Rbp	 	group	 	 	 	2.90E-03	SOCS3	 
NPS	 	other	 	 	 	2.90E-03	FOS	 
Rps15a-ps4	 	other	 	 	 	2.90E-03	NFKBIA	 
MBNL3	 	other	 	 	 	2.90E-03	ABLIM1	 
FAM168A	 	other	 	 	 	2.90E-03	NFKBIA	 
ADRM1	 	other	 	 	 	2.90E-03	NFKBIA	 
FBXO25	 	enzyme	 	 	 	2.90E-03	FOS	 
OMG	 	G-protein coupled receptor	 	 	 	2.90E-03	FOS	 
INTERLEUKIN	 	group	 	 	 	2.90E-03	FOS	 
MAPK8IP2	 	other	 	 	 	2.90E-03	FOS	 
NMB	 	other	 	 	 	2.90E-03	FOS	 
miR-101-5p (miRNAs w/seed AGUUAUC)	 	mature microRNA	 	 	 	2.90E-03	ATM	 
REG3A	 	enzyme	 	 	 	2.90E-03	SOCS3	 
ARHGEF28	 	other	 	 	 	2.90E-03	FOS	 
GAD1	 	enzyme	 	 	 	2.90E-03	FOS	 
POU4F3	 	transcription regulator	 	 	 	2.90E-03	FOS	 
GABRG2	 	ion channel	 	 	 	2.90E-03	FOS	 
PTPRT	 	phosphatase	 	 	 	2.90E-03	SOCS3	 
USP13	 	peptidase	 	 	 	2.90E-03	STAT1	 
RAMP3	 	other	 	 	 	2.90E-03	FOS	 
TH	 	enzyme	 	 	 	2.90E-03	FOS	 
KHDRBS2	 	other	 	 	 	2.90E-03	STAT1	 
GRAP	 	other	 	 	 	2.90E-03	FOS	 
UBE2V1	 	transcription regulator	 	 	 	2.90E-03	FOS	 
1-(3-chlorophenyl)piperazine	 	chemical drug	 	 	 	2.90E-03	FOS	 
NPC 15437	 	chemical - kinase inhibitor	 	 	 	2.90E-03	FOS	 
chlordiazepoxide	 	chemical drug	 	 	 	2.90E-03	FOS	 
nisoldipine	 	chemical drug	 	 	 	2.90E-03	FOS	 
tegaserod	 	chemical drug	 	 	 	2.90E-03	FOS	 
veratridine	 	chemical toxicant	 	 	 	2.90E-03	FOS	 
teleocidins	 	chemical toxicant	 	 	 	2.90E-03	FOS	 
5-thio-D-glucose	 	chemical reagent	 	 	 	2.90E-03	FOS	 
ID3	 	transcription regulator	 	 	 	2.95E-03	IL7R,PRDM1,SOCS3	 
CBL	 	transcription regulator	 	 	 	2.99E-03	FOS,STAT1	9 (9)
EBI3	 	cytokine	 	 	 	2.99E-03	FOS,STAT1	8 (7)
