© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL4	 	cytokine	 	-1.465	4.22E-09	BHLHE40,CCL5,CCR5,CD300A,CD69,CD74,CFLAR,DOCK10,DPP4,GCN1,IL18R1,IL2RB,IL7R,ITGA4,ITGAL,JUN,MATK,MYC,PRDM1,PREX1,S100A8,SDF2L1,SEMA4D,SLAMF7,SMC3,SNRNP200,SPTBN1,VIM,XBP1	85 (15)
camptothecin	 	chemical drug	 	1.342	7.88E-09	ABCB1,AKAP9,ATM,BIRC3,BTN3A3,CAST,CD53,CFLAR,EEF1A1,EEF1B2,HLA-C,IL17RA,IL18R1,JUN,MYC,MYO5A,RSRP1,SIPA1,SPTBN1,STK38,TAP1,ZFP36L1	80 (16)
tretinoin	 	chemical - endogenous mammalian	 	0.042	1.33E-08	ABHD2,BHLHE40,BIRC3,CCR5,CD53,CD74,DPP4,EEF1A1,EEF1D,EIF5,GNAS,HLA-C,ITGA4,ITGAL,JUN,MYC,NPM1,NRIP1,PIK3R1,PNRC1,PTPRC,RUNX3,S100A8,S100B,SCAF11,SEPHS1,SLAMF7,STK10,TAP1,TMSB10/TMSB4X,TPT1,VIM,WAS,WIPF1,XBP1,YBX1,ZFAND5	82 (17)
decitabine	 	chemical drug	 	-0.807	1.46E-08	ABCB1,BIRC3,BRD2,CCL5,CCR2,CFLAR,EEF1A1,EEF1B2,EIF3F,HLA-C,IL7R,ITGA4,MYC,NCOR1,NSD1,PABPC1,PREX1,RAF1,RUNX3,SLC4A10,SPTAN1,TMSB10/TMSB4X,TRRAP,VIM,ZBTB33	53 (7)
TP53	 	transcription regulator	 	1.376	1.59E-08	ABCB1,ADAM12,AKAP9,ANKH,ARPC1B,ATP1A1,BHLHE40,BIRC3,CAP1,CAPNS1,CCL5,CD247,CFLAR,DICER1,DPP4,DUSP2,EEF1A1,EIF4G2,EIF5,FYN,IL17RA,JUN,KAT6A,MYC,MYO5A,NPM1,P4HB,PDIA6,PIK3R1,PKM,PRDM1,RAF1,S100B,SEL1L,SMC3,TAP1,TMSB10/TMSB4X,VIM,XBP1,YBX1,ZFP36L1	77 (18)
APP	 	other	 	-0.983	2.11E-08	ATM,BRD2,CAP1,CAST,CCL5,CCR5,CD69,CD74,CFLAR,ENO1,FYN,GOT2,HNRNPA1,ITGA4,ITGAL,JUN,MYC,PIK3R1,PKM,PTPRC,RANBP2,RNF24,S100A8,S100B,SPTAN1,TPT1,ZFP36L1	88 (19)
dexamethasone	 	chemical drug	 	0.536	2.62E-08	ABCB1,ABHD2,ACTR3,ADAM12,ATP1A1,BCLAF1,BHLHE40,BIRC3,CAST,CCL5,CCR2,CD69,CD74,CFLAR,EEF1A1,EIF5,ENO1,FTL,GPR183,IL18R1,IL2RB,IL32,IL7R,ITGA4,JUN,LGALS8,MOB1A,MYC,NCR3,NPM1,NRIP1,PABPC1,PIK3R1,S100A8,SCAF11,SNRNP70,SPTBN1,STK38,TPT1,TRRAP,VIM,WIPF1,XBP1,ZFP36L1	79 (20)
filgrastim	 	biologic drug	 	1.306	3.20E-08	ATP1A1,BIRC3,CAST,CCL5,CD69,CD74,ENO1,GPR183,IL18R1,IL2RB,IL32,ITGA4,JUN,LGALS8,NCR3,VIM,XBP1,ZFP36L1	 
CD40	 	transmembrane receptor	 	-0.053	4.50E-08	BIRC3,CCL5,CD69,CFLAR,ERN1,IL2RB,ITGAL,JUN,MYC,PRDM1,SLAMF7,TAP1,XBP1	70 (18)
hydrogen peroxide	 	chemical - endogenous mammalian	 	1.569	5.83E-08	ABCB1,BIRC3,CCR2,CCR5,CD247,CFLAR,DNAJB1,DUSP2,EEF1A1,EEF1B2,HNRNPA1,IL32,JUN,MYC,PDIA4,RUNX3,TAP1,VIM,XBP1	89 (22)
geldanamycin	 	chemical - endogenous non-mammalian	 	0.374	1.31E-07	ARF1,CFLAR,DNAJB1,EEF1A1,FYN,JUN,LBH,MYC,NPM1,PTGES3,RAF1,TAP1,TNRC6B,TRRAP	80 (13)
5-fluorouracil	 	chemical drug	 	0.655	1.40E-07	BTF3,CAPNS1,CFLAR,GOT2,HNRNPA1,JUN,MYC,OAZ1,PKM,PTGES3,RAF1,SLC25A6,TMSB10/TMSB4X,YBX1,ZFP36L1	75 (12)
IL12 (complex)	 	complex	 	0.620	1.77E-07	CCL5,CCR2,CCR5,CD69,IL18R1,IL32,IL7R,ITGA4,ITGAL,JUN,MYC,PRDM1	76 (19)
IL21	 	cytokine	 	0.810	2.78E-07	CCL5,CD69,DPP4,IL18R1,IL2RB,IL7R,NCR3,PRDM1,PTPRC,TAP1,XBP1	86 (19)
CSF1	 	cytokine	 	0.155	2.94E-07	CCL5,CCR5,ENO1,GLS,GOT2,ITGA4,JUN,MYC,PKM,PTPRC,TPT1,XBP1	72 (19)
alefacept	 	biologic drug	 	1.195	3.48E-07	ABCB1,CCL5,CD69,GNLY,IL2RB,IL7R,PTPN4	 
IL27	 	cytokine	 	-0.253	4.00E-07	CCL5,CD69,CD74,CFLAR,HLA-C,MYC,PRDM1,SPTBN1,TAP1,VIM	90 (18)
NFkB (complex)	 	complex	 	-0.995	4.47E-07	ABCB1,BIRC3,CAPNS1,CCL5,CCR2,CD69,CD74,CFLAR,DUSP2,ERAP2,GNAS,IL32,IL7R,ITGAL,JUN,MYC,PRDM1,STK10,TAP1,VIM	66 (17)
GFI1	 	transcription regulator	 	-0.681	4.83E-07	CD53,CFLAR,GPR183,IL7R,JUN,MYC,NLRC5,RAF1,RASGRP1,RUNX3	46 (7)
TRAF7	 	enzyme	 	 	5.60E-07	CFLAR,JUN,MYC	53 (14)
tetradecanoylphorbol acetate	 	chemical drug	 	-1.458	6.56E-07	ABCB1,ARF1,ATM,BIRC3,CCL5,CCR2,CD69,CERK,CFLAR,DUSP2,EEF1D,FOXP1,GLS,IL18R1,IL32,IL7R,ITGAL,JUN,LBH,LRRFIP1,MYC,NPM1,PKM,PTPRC,RACK1,RASGRP1,S100A8,VIM	76 (18)
N-acetyl-L-cysteine	 	chemical drug	 	0.699	7.84E-07	ABCB1,ATP1A1,BIRC3,CCL5,CCR2,CCR5,CFLAR,DICER1,ITGA4,JUN,MYC,RAF1	87 (22)
POU2F2	 	transcription regulator	 	0.788	9.04E-07	CCR5,CD69,CFLAR,ENO1,GPR183,JUN,MYC,XBP1	41 (9)
Tgf beta	 	group	 	1.333	1.09E-06	ADAM12,ANKH,BHLHE40,CCL5,CCR2,CD69,CFLAR,IL32,JUN,MYC,NCR3,RUNX3,VIM	73 (21)
TGFB1	 	growth factor	 	1.466	1.12E-06	ADAM12,ANKH,ARF1,ATM,BHLHE40,CAP1,CAPNS1,CCL5,CCR2,CCR5,CD300A,CD69,EEF1A1,ENO1,FTL,FYN,GLS,GNAS,IL2RB,IL32,ITGA4,ITGAL,JUN,MALAT1,MYC,NCR3,PKM,PRDM1,PTPRC,RACK1,RASGRP1,RUNX3,SNRNP70,VIM,XBP1,YBX1	77 (19)
miR-122-5p (miRNAs w/seed GGAGUGU)	 	mature microRNA	 	-0.213	1.24E-06	BACH2,DUSP2,EEF1A1,FOXP1,P4HB,PKM,VIM	 
AKT1	 	kinase	 	0.486	1.27E-06	ABCB1,ANKH,BIRC3,CCL5,CD69,CD74,CFLAR,ENO1,GOT2,MYC,PIK3R1,PKM,VIM	95 (20)
CD44	 	other	 	0.647	1.38E-06	ABCB1,BIRC3,CCL5,CCR2,CCR5,CD69,ITGA4,JUN,MYC,VIM,WAS	64 (16)
Interferon alpha	 	group	 	-0.315	1.39E-06	CCL5,CCR5,CD69,GLS,HLA-C,IL17RA,IL18R1,IL32,IL7R,ITGA4,MYC,MYLIP,NCR3,NPM1,SLAMF7,TAP1	70 (18)
Igm	 	complex	 	 	1.52E-06	CD69,CFLAR,DUSP2,MYC,PRDM1,XBP1,ZFP36L1	62 (17)
BCR (complex)	 	complex	 	-0.312	1.93E-06	CD300A,CD69,CFLAR,IL2RB,ITGA4,MYC,PRDM1,SLAMF7,XBP1	61 (17)
HRAS	 	enzyme	 	-0.190	2.87E-06	ARF1,BIRC3,CCL5,CD69,DPP4,IL7R,ITGA4,JUN,MYC,NPM1,P4HB,RAF1,RASGRP1,SMC3,SSR3,STK10,TAP1,TMSB10/TMSB4X,VIM	81 (17)
IL10	 	cytokine	 	1.000	3.08E-06	CCL5,CCR2,CCR5,CD74,CFLAR,IL17RA,IL7R,ITGA4,ITGAL,JUN,PRDM1,S100A8,S100B,TAP1	76 (18)
HIF1A	 	transcription regulator	 	-1.557	3.31E-06	ABCB1,BACH2,BHLHE40,CCL5,CCR2,CCR5,ENO1,FYN,IL17RA,JUN,MYC,NCR3,NPM1,PKM,VIM	80 (18)
XBP1	0.295	transcription regulator	Activated	2.778	3.81E-06	CCL5,MAN1A1,MYC,P4HB,PDIA4,PDIA6,PRDM1,SDF2L1,SMC3,SSR3,XBP1	52 (10)
sirolimus	 	chemical drug	 	-0.027	3.84E-06	ARF1,ATP1A1,CCR5,CFLAR,EEF1A1,EIF5,ENO1,JUN,MYC,NPM1,OAZ1,PIK3R1,PKM,RACK1,UBA52,VIM,XBP1	88 (18)
TNF	 	cytokine	 	0.144	4.11E-06	ATP1A1,BHLHE40,BIRC3,BTN3A3,CCL5,CCR2,CCR5,CD247,CD69,CFLAR,DPP4,DUSP2,ERN1,FYN,GLS,IL18R1,IL32,IL7R,ITGA4,ITGAL,JUN,LGALS8,MYC,NEAT1,NRIP1,OIP5-AS1,P4HB,PDIA4,PKM,PRDM1,PTPRC,S100A8,TAP1,TPT1,VIM	72 (16)
RELA	 	transcription regulator	 	0.995	4.14E-06	ABCB1,BACH2,BHLHE40,BIRC3,CCL5,CD69,ERAP2,IL32,IL7R,JUN,MYC,PKM,PRDM1,TAP1,VIM	93 (22)
IL1B	 	cytokine	 	0.320	4.20E-06	ANKH,ATP1A1,BIRC3,CCL5,CCR2,CCR5,CD69,CD74,CFLAR,DPP4,GNAS,IL18R1,IL32,JUN,MYC,NEAT1,OIP5-AS1,P4HB,PRDM1,S100A8,S100B,TPT1,VIM	81 (19)
albuterol	 	chemical drug	 	0.254	4.29E-06	CCL5,CCR2,CCR5,GNAS	49 (7)
MAPK1	 	kinase	 	1.236	4.57E-06	ADAM12,BTN3A3,CCL5,CD69,DOCK10,DSE,DUSP2,GLS,HLA-C,JUN,MYC,TAP1,VIM,WIPF1	80 (18)
butyric acid	 	chemical - endogenous mammalian	 	0.212	4.88E-06	ABCB1,AFF1,CAP1,CCR5,CFLAR,EIF4G2,FYN,IL18R1,IL32,MYC,NPM1,PRDM1,RAF1,SIPA1,ZFP36L1	86 (21)
U 50488H	 	chemical reagent	 	 	5.53E-06	CCR2,CCR5,IL7R	 
PD98059	 	chemical - kinase inhibitor	 	0.630	5.59E-06	ACTR3,CCL5,CCR2,CD69,CD74,CFLAR,EEF1A1,EIF5,ENO1,ITGA4,JUN,MYC,PABPC1,PIK3R1,S100A8,VIM,ZFP36L1	87 (21)
IL5	 	cytokine	 	1.518	5.83E-06	CCR2,CCR5,CD69,ENO1,MYC,PDIA6,PKM,PRDM1,PTPRC,SDF2L1,VIM,XBP1	72 (18)
GATA3	 	transcription regulator	 	-0.970	6.68E-06	CCL5,CCR2,CCR5,IL2RB,IL7R,ITGAL,MYC,RUNX3,S100A8,VIM,XBP1	72 (17)
PTP4A1	 	phosphatase	 	-0.216	6.85E-06	ACTR3,CCL5,DNAJB1,EEF1A1,ITGA4,PIK3R1,PKM,VIM	 
IRF4	 	transcription regulator	 	1.387	7.05E-06	CFLAR,IL17RA,IL7R,ITGAL,MYC,PRDM1,XBP1,YBX1,ZFP36L1	65 (16)
bortezomib	 	chemical drug	 	-0.075	7.50E-06	BIRC3,CCL5,CFLAR,DNAJB1,ERN1,ITGA4,MYC,PRDM1,RAF1,VIM,XBP1	68 (21)
ELL2	 	transcription regulator	 	1.342	8.46E-06	MYC,PRDM1,SEL1L,SLAMF7,TMEM154,XBP1	 
tanespimycin	 	chemical drug	 	-0.280	1.04E-05	BIRC3,CFLAR,DNAJB1,HNRNPA1,JUN,MYC,RAF1,STK38	77 (18)
tunicamycin	 	chemical - endogenous non-mammalian	Activated	2.431	1.20E-05	ABCB1,BIRC3,ERN1,MYC,P4HB,PDIA6,SDF2L1,SEL1L,SSR3,XBP1	79 (16)
E. coli B5 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	1.478	1.21E-05	BHLHE40,BIRC3,CCL5,CCR5,CD69,EEF1A1,IL17RA,IL32,IL7R,ITGAL,PRDM1	74 (17)
IGF1	 	growth factor	 	-0.311	1.36E-05	ATM,BHLHE40,BIRC3,CCL5,CD74,CFLAR,JUN,MYC,PKM,PTPRC,S100B,TAP1,VIM,XBP1,ZFP36L1	92 (20)
IL12 (family)	 	group	 	-0.740	1.39E-05	CCL5,CCR5,CD69,CFLAR,DICER1,IL18R1,MYC,NCR3	89 (19)
BCL6	 	transcription regulator	 	-1.368	1.41E-05	BACH2,CD69,DOCK10,IL2RB,IL7R,LBH,MYC,PRDM1,SMC3,XBP1	58 (13)
LDL	 	complex	 	0.467	1.50E-05	CCL5,CCR2,CFLAR,DUSP2,GPR183,IL17RA,JUN,PSMC5,S100A8,SIPA1,XBP1	94 (20)
FAS	 	transmembrane receptor	 	 	1.63E-05	AKAP9,BIRC3,BTN3A3,CAST,CCL5,CFLAR,IL17RA,IL18R1,JUN,MYO5A,SIPA1,SPTBN1,STK38	62 (18)
sorafenib	 	chemical drug	Activated	2.176	1.70E-05	CCL5,CD69,CFLAR,ERN1,VIM	76 (18)
ETS1	 	transcription regulator	 	-0.589	1.72E-05	ABCB1,CCL5,CD69,EEF1D,IL2RB,IL7R,MYC,PRDM1,RUNX3,WAS	50 (14)
cycloheximide	 	chemical reagent	 	0.268	1.73E-05	ABCB1,BIRC3,CFLAR,EEF1A1,EEF1D,GNAS,IL7R,JUN,MYC,NPM1,PRDM1,S100A8,SNRNP70	84 (19)
vorinostat	 	chemical drug	 	0.528	1.78E-05	BIRC3,CCR2,CCR5,CD69,CD74,CFLAR,JUN,MYC,RAF1,S100A8,VIM	65 (16)
MS4A1	 	other	 	 	1.91E-05	CD69,MYC,ZFP36L1	27 (4)
FOS	 	transcription regulator	 	1.177	1.93E-05	ABCB1,ADAM12,ARF1,CAST,CCL5,CFLAR,EIF4G2,ENO1,JUN,MALAT1,MYC,NRIP1,PRDM1,S100A8,SEMA4D,VIM	65 (16)
IL18	 	cytokine	 	0.824	2.19E-05	CCL5,CCR5,CD69,CFLAR,IL18R1,IL32,ITGAL,JUN,NCR3	82 (19)
SPP1	 	cytokine	 	-0.796	2.39E-05	ATM,CAPNS1,CCL5,CCR2,MYC,PIK3R1,PNN,RAF1,VIM	78 (20)
cyclosporin A	 	biologic drug	 	-0.085	2.48E-05	ATP1A1,BIRC3,CCL5,CCR5,CFLAR,FYN,ITGAL,JUN,MYC,NCR3,PKM,SNRNP70,TMSB10/TMSB4X,VIM	89 (19)
ZBTB16	 	transcription regulator	 	0.101	2.62E-05	BACH2,CCR2,CD74,IL18R1,IL7R,MYC,PIK3R1,RUNX3	15 (3)
MYCN	 	transcription regulator	Inhibited	-3.317	2.74E-05	ABCB1,ARPC1B,DUSP2,EEF1A1,EEF1D,EIF4G2,NPM1,PDIA4,VIM,WAC,ZFAND5	64 (7)
PIK3CG	 	kinase	 	-0.447	2.93E-05	ABCB1,CD74,HNRNPA0,IL17RA,IL2RB,NLRC5,TAP1	50 (7)
potassium chloride	 	chemical drug	 	0.000	2.93E-05	ATP1A1,JUN,MYC,NEAT1,PDIA4,PIK3R1,XBP1	56 (10)
IKK (complex)	 	complex	 	-0.218	2.97E-05	BIRC3,CCL5,CFLAR,MYC	80 (18)
IL3	 	cytokine	 	-0.510	3.01E-05	BIRC3,CD247,CD53,CD69,EEF1A1,GNAS,JUN,MYC,SLAMF7,XBP1,YBX1,ZFAND5	72 (15)
IL7	 	cytokine	 	-0.732	3.20E-05	CD247,CD69,CFLAR,DPP4,IL18R1,IL7R,MYC,XBP1	75 (18)
STAT5A	 	transcription regulator	 	-0.756	3.21E-05	ABCB1,ATM,BIRC3,CCR5,CFLAR,ERAP2,IL2RB,IL7R,MYC,PRDM1,YBX1	66 (18)
Mapk	 	group	 	-1.387	3.30E-05	ABCB1,ADAM12,CFLAR,ITGA4,JUN,MYC,S100A8	78 (18)
CD24	 	other	 	-0.404	3.30E-05	BCLAF1,JUN,NRIP1,RAF1,RANBP2,SCAF11,SYNE2	 
EIF2AK3	 	kinase	 	1.355	3.51E-05	BIRC3,JUN,MYC,PRDM1,SEL1L,SPATA5,XBP1	79 (17)
Immunoglobulin	 	complex	 	0.048	3.54E-05	BIRC3,CCL5,CCR2,CD69,CD74,ENO1,IL18R1,IL2RB,IL32,IL7R,ITGA4,MYC,PDIA6,PRDM1,S100A8,XBP1	70 (16)
evodiamine	 	chemical - endogenous non-mammalian	 	0.000	3.58E-05	ABCB1,BIRC3,CFLAR,MYC	42 (9)
IL1A	 	cytokine	 	0.152	3.59E-05	BIRC3,BTN3A3,CCL5,CCR2,DPP4,IL32,JUN,MYC,S100A8,VIM	67 (17)
Hbb-b2	 	other	 	0.000	3.86E-05	CCR2,CCR5,CD74,FTL,IL2RB	45 (7)
resveratrol	 	chemical drug	 	0.961	3.99E-05	BIRC3,CCL5,CD69,CFLAR,IL7R,ITGAL,JUN,MALAT1,MYC,NRIP1,XBP1	55 (15)
STAT3	 	transcription regulator	 	0.978	4.41E-05	CCL5,CCR5,CD74,CFLAR,DPP4,IL18R1,IL2RB,MYC,NPM1,PDIA4,PRDM1,TAP1,VIM,WAS,WIPF1,XBP1	75 (19)
PDGF (family)	 	group	 	 	4.54E-05	EEF1B2,P4HB,VIM	 
PRKCE	 	kinase	 	0.218	4.68E-05	ABCB1,ADAM12,BIRC3,IL2RB,JUN,MYC	76 (17)
ICAM1	 	transmembrane receptor	 	-1.446	4.75E-05	CCL5,CD69,ITGA4,ITGAL,MYC	70 (16)
CXCL12	 	cytokine	 	-0.738	4.77E-05	CCL5,CD69,DPP4,FYN,ITGAL,JUN,MYC,RUNX3,VIM	77 (16)
17-alpha-ethinylestradiol	 	chemical drug	 	0.152	4.88E-05	ABCB1,CCL5,CCR2,CCR5,CD53,CD74,IL17RA,JUN	102 (21)
SP2509	 	chemical reagent	 	-1.000	6.04E-05	BRD2,CCL5,CFLAR,MYC,NCOR1,NSD1,PREX1,RAF1,SPTAN1,TRRAP,ZBTB33	 
cardiotoxin	 	chemical - other	 	0.000	6.10E-05	CCL5,CCR2,CCR5,IL7R,ITGA4,LRRFIP1,NPM1,PTPRC	 
beta-estradiol	 	chemical - endogenous mammalian	Activated	2.047	6.14E-05	ABCB1,ANKH,ATM,BHLHE40,BIRC3,CAST,CCL5,CCR2,CCR5,CD69,CD74,ENO1,GPRIN3,HNRNPA1,IL7R,JUN,KAT6A,MYC,NCOR1,NPM1,NRIP1,P4HB,PDIA4,PIK3R1,PKM,RACK1,RAF1,RASGRP1,SDF2L1,SPAG9,SPTAN1,SSR3,VIM,XBP1,YTHDF2	96 (20)
CEBPB	 	transcription regulator	 	-0.235	6.21E-05	ABCB1,ATM,CCL5,CCR5,FTL,GNAS,GNLY,ITGAL,JUN,MYC,PRDM1,VIM,XBP1	72 (18)
prostaglandin E2	 	chemical - endogenous mammalian	 	0.974	6.77E-05	BIRC3,CCL5,CCR5,CD69,IL7R,JUN,MYC,NCR3,PRDM1,S100A8,VIM	67 (17)
interferon beta-1a	 	biologic drug	 	 	7.20E-05	CCR2,CCR5,DNAJB1,ENO1,GNLY,IL2RB,SLC25A6	 
doxorubicin	 	chemical drug	 	0.975	7.66E-05	ABCB1,ATM,BHLHE40,BIRC3,CFLAR,EEF1A1,EEF1B2,JUN,MYC,P4HB,TAP1,VIM,YBX1	87 (17)
NPC1	 	transporter	 	 	8.11E-05	CCR2,CCR5,CD74,MYLIP,S100A8,XBP1	40 (7)
SAFB	 	other	 	1.342	8.43E-05	CCL5,CD74,HLA-C,JUN,S100A8	 
NFKBIA	 	transcription regulator	 	-0.529	8.59E-05	BIRC3,CCL5,CD69,CFLAR,EIF4G2,ERAP2,IL7R,JUN,MATK,MYC,PIK3R1,S100A8,SPTBN1	74 (21)
TNNI3	 	transporter	 	 	8.80E-05	CCL5,CCR2,CCR5	 
MAPT	 	other	 	 	8.92E-05	ARF1,CAP1,CAST,ENO1,FYN,GOT2,JUN,MYO5A,PKM,S100B,SPTAN1,TPT1	59 (7)
PTX3	 	other	 	0.061	1.06E-04	CCL5,CCR2,CCR5,JUN	55 (12)
GNAI2	 	enzyme	 	-0.927	1.06E-04	BHLHE40,CCR5,ITGA4,ITGAL	52 (7)
Ige	 	complex	 	0.855	1.08E-04	CCL5,CCR5,CD53,CD74,DUSP2,EIF4G2,FYN,IL7R,MYC,RASGRP1,VIM	79 (16)
NCOR2	 	transcription regulator	 	 	1.09E-04	BIRC3,CD69,JUN,MYC,SEMA4D	51 (8)
SH3KBP1	 	other	 	 	1.17E-04	MYC,PRDM1,XBP1	36 (7)
AGN194204	 	chemical drug	 	1.492	1.17E-04	ATP1A1,GNAS,IL2RB,IL7R,MAN1A1,MYC,NRIP1,TAP1,XBP1	34 (7)
MYB	 	transcription regulator	 	1.132	1.18E-04	ADAM12,BHLHE40,BIRC3,IL18R1,IL7R,JUN,MYC,VIM	59 (18)
TCF3	 	transcription regulator	 	1.890	1.20E-04	BACH2,CERK,IL7R,JUN,MYC,PDIA4,PDIA6,PRDM1,SDF2L1,SLAMF7,XBP1	15 (2)
PSEN1	 	peptidase	 	 	1.22E-04	CAP1,CCL5,CCR5,CD74,ENO1,GOT2,MYC,PIK3R1,PKM,S100B,SPTAN1,TPT1	66 (12)
HOXA9	 	transcription regulator	 	 	1.23E-04	ARF1,GPR183,IL7R,JUN,MYC,PTPRC,S100A8,VIM	35 (7)
HSP90B1	 	other	 	 	1.29E-04	ARF1,ITGA4,ITGAL,SSR3,XBP1	 
PRDM1	0.293	transcription regulator	 	-0.046	1.34E-04	CD53,CD74,GNLY,IL7R,ITGA4,MYC,PRDM1,S100A8,XBP1	47 (13)
LY294002	 	chemical - kinase inhibitor	 	0.338	1.37E-04	ABCB1,BHLHE40,BIRC3,CCL5,CCR2,CD69,CD74,CFLAR,GPR183,IL32,JUN,MYC,PIK3R1,VIM	68 (17)
adenosine	 	chemical - endogenous mammalian	 	 	1.40E-04	CCL5,CD69,DPP4,GNAS,NCR3	56 (13)
cadmium chloride	 	chemical toxicant	 	 	1.40E-04	CCL5,EEF1D,JUN,MYC,VIM	96 (23)
CRBN	 	enzyme	 	 	1.51E-04	ERN1,JUN,XBP1	25 (3)
PC-SPES	 	chemical drug	 	 	1.58E-04	DNAJB1,FTL,HLA-C,P4HB,TMSB10/TMSB4X,VIM	 
ERN1	0.365	kinase	 	1.406	1.70E-04	JUN,P4HB,PDIA6,SDF2L1,SEL1L,SSR3,XBP1	20 (3)
arginine	 	chemical - endogenous mammalian	 	-1.253	1.74E-04	CD247,MYC,PIK3R1,XBP1	53 (5)
TP63	 	transcription regulator	 	1.442	1.79E-04	ABCB1,ATM,BHLHE40,CAST,CFLAR,DICER1,ITGA4,MYC,P4HB,PRPF8,S100A8,SEPHS1,VIM	64 (8)
actinomycin D	 	biologic drug	 	1.107	1.84E-04	ATP1A1,BIRC3,CFLAR,HNRNPA1,IL7R,JUN,MYC,NPM1,TAP1	69 (20)
MMP12	 	peptidase	 	 	1.90E-04	ACTR3,ARPC1B,CCL5,EIF3F,PKM	 
TCF/LEF	 	group	 	 	1.91E-04	JUN,MYC,VIM	 
CBS/CBSL	 	enzyme	 	 	1.91E-04	EEF1A1,EEF1D,GOT2	 
IFNA2	 	cytokine	 	-0.631	2.02E-04	CCL5,CD69,DPP4,GNAS,HLA-C,IL2RB,MYC,TAP1,XBP1	86 (19)
NIBAN2	 	transcription regulator	 	 	2.04E-04	MYC,PKM	 
PRR7	 	other	 	 	2.04E-04	CD69,JUN	36 (7)
