© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Tec Kinase Signaling	5.13E00	1.4E-01	0.728	ACTG1,BTK,CDC42,FCER1A,GNAI2,GNAI3,GNAQ,GTF2I,JAK3,NFKB1,PAK1,PAK2,PIK3CD,PRKCD,RAC1,RAC2,RHOA,RHOC,RHOT1,TNFRSF10B,TNFRSF25,VAV2,VAV3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.1E00	1.33E-01	0.853	CDC42,CYBB,IFNGR1,IKBKB,IRF1,IRF8,JAK3,MAP3K14,MAP3K4,MAP3K6,NCF2,NFKB1,PIK3CD,PPM1L,PPP1CC,PPP1R14B,PPP2R5C,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,S100A8	
Estrogen Receptor Signaling	5.06E00	1.1E-01	2.058	ADCY9,ATP5PB,CDKN1A,CREB5,CTBP2,DLG4,GNAI2,GNAI3,GNAQ,HIF1A,HSP90AB1,HSP90B1,IGF2R,JAK3,MED20,MYL12A,MYL6B,NCOA1,NCOA3,NFKB1,NR3C1,NRAS,PAK1,PDIA3,PIK3CD,PRKAB2,PRKAR1A,PRKCD,PTEN,RAP1A,RHOA,RUNX2,TRRAP,UQCRFS1,VEGFA,VEGFB	
Type I Diabetes Mellitus Signaling	5.02E00	1.62E-01	0.905	APAF1,BID,GZMB,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-DRB5,HSPD1,ICA1,IFNGR1,IKBKB,IRAK1,IRF1,MAP2K3,MAP3K14,NFKB1,SOCS3	
Ephrin Receptor Signaling	4.94E00	1.33E-01	1.342	ABL1,ACP1,ACTR2,ARPC2,ARPC4,ARPC5,CDC42,CREB5,EPHB4,GNAI2,GNAI3,GNAQ,ITSN1,MAP3K14,NRAS,PAK1,PAK2,RAC1,RAC2,RAP1A,RAPGEF1,RHOA,VEGFA,VEGFB	
Molecular Mechanisms of Cancer	4.82E00	1.02E-01	NaN	ABL1,ADCY9,APAF1,ARHGEF6,ARHGEF7,BID,BIRC2,CCND3,CDC42,CDK13,CDK14,CDKN1A,CDKN1B,CDKN2D,E2F4,GNAI2,GNAI3,GNAQ,HIF1A,JAK3,MAP2K3,NFKB1,NRAS,PAK1,PAK2,PIK3CD,PRKAR1A,PRKCD,RAC1,RAC2,RAP1A,RAPGEF1,RASGRF1,RHOA,RHOC,RHOT1,SUFU,TAB2,TCF4,TGFBR2	
Regulation of Actin-based Motility by Rho	4.8E00	1.7E-01	0.775	ACTR2,ARPC2,ARPC4,ARPC5,CDC42,GSN,MYL12A,MYL6B,PAK1,PAK2,PIKFYVE,RAC1,RAC2,RHOA,RHOC,RHOT1	
PI3K Signaling in B Lymphocytes	4.75E00	1.45E-01	2.065	ABL1,ATF6,ATF6B,BTK,CALM1 (includes others),CD180,CHP1,IKBKB,INPP5D,NFKB1,NRAS,PDIA3,PIK3CD,PLEKHA2,PTEN,RAC1,RAP1A,SYK,VAV2,VAV3	
Natural Killer Cell Signaling	4.74E00	1.27E-01	1.800	B2M,CDC42,HLA-A,HLA-C,HSPA8,IL18,JAK3,LCP2,MAP2K3,MAP3K14,MAP3K4,MAP3K6,NFKB1,NRAS,PAK1,PAK2,PIK3CD,RAC1,RAC2,RAP1A,SYK,TYROBP,VAV2,VAV3,ZAP70	
Leukocyte Extravasation Signaling	4.74E00	1.27E-01	0.655	ABL1,ACTG1,ARHGAP5,ARHGAP9,BTK,CD99,CDC42,CYBB,GNAI2,GNAI3,ITGB2,MAP3K4,NCF2,PIK3CD,PRKCD,RAC1,RAC2,RAP1A,RHOA,SELPLG,SPN,TIMP1,VASP,VAV2,VAV3	
Sphingosine-1-phosphate Signaling	4.7E00	1.54E-01	0.775	ACER3,ADCY9,CASP1,CASP4,CDC42,GNAI2,GNAI3,GNAQ,PDIA3,PIK3CD,RAC1,RAC2,RHOA,RHOC,RHOT1,SMPD1,SMPD3,SMPD4	
Epithelial Adherens Junction Signaling	4.64E00	1.38E-01	NaN	ACTG1,ACTR2,ARPC2,ARPC4,ARPC5,CDC42,CLINT1,MYH9,MYL6B,NRAS,PTEN,RAC1,RAP1A,RAPGEF1,RHOA,TCF4,TGFBR2,TUBA1B,TUBB,VAV2,ZYX	
IL-8 Signaling	4.63E00	1.25E-01	0.000	CCND3,CDC42,CYBB,GNAI2,GNAI3,HMOX1,IKBKB,IRAK1,ITGB2,LASP1,NCF2,NFKB1,NRAS,PAK2,PIK3CD,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,VASP,VEGFA,VEGFB	
Remodeling of Epithelial Adherens Junctions	4.56E00	1.91E-01	0.447	ACTG1,ACTR2,ARPC2,ARPC4,ARPC5,DNM1L,DNM2,EXOC2,MAPRE1,RAB7A,TUBA1B,TUBB,ZYX	
ILK Signaling	4.55E00	1.26E-01	0.426	ACTG1,ARHGEF6,CDC42,CREB5,FLNA,FLNB,HIF1A,ITGB2,MYH9,MYL6B,NFKB1,PIK3CD,PPM1L,PPP1R14B,PPP2R5C,PTEN,RAC1,RAC2,RHOA,RHOC,RHOT1,TMSB10/TMSB4X,VEGFA,VEGFB	
RhoGDI Signaling	4.46E00	1.28E-01	-0.688	ACTG1,ACTR2,ARHGAP5,ARHGAP9,ARHGEF6,ARHGEF7,ARPC2,ARPC4,ARPC5,CDC42,GNAI2,GNAI3,GNAQ,MYL12A,MYL6B,PAK1,PAK2,PIKFYVE,RAC1,RAC2,RHOA,RHOC,RHOT1	
ERK/MAPK Signaling	4.43E00	1.24E-01	0.426	CREB5,DUSP1,ELF1,ETS1,H3-3A/H3-3B,MKNK2,NRAS,PAK1,PAK2,PIK3CD,PLA2G12A,PPM1L,PPP1CC,PPP1R14B,PPP2R5C,PRKAR1A,PRKCD,RAC1,RAC2,RAP1A,RAPGEF1,TLN1,YWHAH,YWHAZ	
Signaling by Rho Family GTPases	4.42E00	1.15E-01	0.408	ACTG1,ACTR2,ARHGEF6,ARHGEF7,ARPC2,ARPC4,ARPC5,CDC42,CYBB,CYFIP1,GNAI2,GNAI3,GNAQ,MYL12A,MYL6B,NCF2,NFKB1,PAK1,PAK2,PIK3CD,PIKFYVE,RAC1,RAC2,RHOA,RHOC,RHOT1,SEPTIN6,SEPTIN7	
Renal Cell Carcinoma Signaling	4.42E00	1.75E-01	0.333	CDC42,ELOB,ETS1,HIF1A,NRAS,PAK1,PAK2,PIK3CD,RAC1,RAP1A,RAPGEF1,UBA52,UBB,VEGFA	
Germ Cell-Sertoli Cell Junction Signaling	4.34E00	1.29E-01	NaN	ACTG1,CDC42,CLINT1,GSN,MAP2K3,MAP3K14,MAP3K4,MAP3K6,NRAS,PAK1,PAK2,PIK3CD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,TGFBR2,TUBA1B,TUBB,ZYX	
Actin Nucleation by ARP-WASP Complex	4.29E00	1.81E-01	0.577	ACTR2,ARPC2,ARPC4,ARPC5,CDC42,NRAS,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,VASP	
Ephrin B Signaling	4.29E00	1.81E-01	1.941	ACP1,CDC42,EPHB4,GNAI2,GNAI3,GNAQ,ITSN1,PAK1,RAC1,RAC2,RHOA,VAV2,VAV3	
PTEN Signaling	4.26E00	1.43E-01	0.000	CDC42,CDKN1A,CDKN1B,IGF2R,IKBKB,INPP5B,INPP5D,INSR,NFKB1,NRAS,OCRL,PIK3CD,PTEN,RAC1,RAC2,RAP1A,TGFBR2,YWHAH	
fMLP Signaling in Neutrophils	4.2E00	1.47E-01	0.243	ACTR2,ARPC2,ARPC4,ARPC5,CALM1 (includes others),CDC42,CHP1,CYBB,GNAI2,GNAI3,NCF2,NFKB1,NRAS,PIK3CD,PRKCD,RAC1,RAP1A	
Fc Epsilon RI Signaling	4.15E00	1.45E-01	0.243	BTK,FCER1A,INPP5B,INPP5D,LCP2,MAP2K3,NRAS,OCRL,PIK3CD,PLA2G12A,PRKCD,RAC1,RAC2,RAP1A,SYK,VAV2,VAV3	
NRF2-mediated Oxidative Stress Response	4.13E00	1.22E-01	0.000	ACTG1,AKR1A1,DNAJB14,DNAJC10,DNAJC15,DNAJC3,DNAJC5,FKBP5,FTL,GSTK1,GSTP1,HMOX1,JUND,MAF,MAP2K3,NQO2,NRAS,PIK3CD,PRKCD,RAP1A,TXN,UBB,USP14	
IL-4 Signaling	4.12E00	1.65E-01	NaN	HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,HMGA1,IL13RA1,INPP5B,INPP5D,JAK3,NR3C1,NRAS,OCRL,PIK3CD,RAP1A	
Hepatic Fibrosis Signaling Pathway	4E00	9.78E-02	1.000	CALM1 (includes others),CDC42,CDKN1B,CREB5,CYBB,FTL,GNAI2,GNAI3,HIF1A,IKBKB,IL18,IRAK1,KLF9,MAP2K3,MYL12A,MYL6B,NCF2,NFKB1,NRAS,PDCD4,PIK3CD,PRKAR1A,PRKCD,PTEN,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,SIRT3,TCF4,TGFBR2,TIMP1,VEGFA,VEGFB	
iCOS-iCOSL Signaling in T Helper Cells	3.9E00	1.44E-01	1.291	CALM1 (includes others),CHP1,CSK,HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,IKBKB,INPP5D,LCP2,NFKB1,PIK3CD,PLEKHA2,PTEN,RAC1,ZAP70	
BEX2 Signaling Pathway	3.86E00	1.65E-01	-0.577	CDKN1A,HIF1A,LMO2,NFKB1,PLXNC1,PPM1L,PPP2R5C,PTEN,TCF4,TSC1,TSC2,VEGFA,VEGFB	
TNFR1 Signaling	3.81E00	2E-01	0.333	APAF1,BID,BIRC2,CDC42,IKBKB,MAP3K14,NFKB1,PAK1,PAK2,TNFAIP3	
NGF Signaling	3.76E00	1.4E-01	1.500	CDC42,CREB5,IKBKB,MAP3K14,MAP3K4,MAP3K6,NFKB1,NRAS,PIK3CD,PRKCD,RAC1,RAP1A,RHOA,SMPD1,SMPD3,SMPD4	
Sumoylation Pathway	3.74E00	1.46E-01	-0.302	CBX4,CDC42,CTBP2,ETS1,NFKB1,NR3C1,RAC1,RAC2,RHOA,RHOC,RHOT1,SENP1,SENP6,SUMO2,SUMO3	
Phospholipase C Signaling	3.64E00	1.05E-01	1.460	ADCY9,AHNAK,ARHGEF6,ARHGEF7,BTK,CALM1 (includes others),CDC42,CHP1,CREB5,GNAQ,HDAC9,HMOX1,LCP2,MYL12A,MYL6B,NFKB1,NRAS,PLA2G12A,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,SYK,ZAP70	
Role of PKR in Interferon Induction and Antiviral Response	3.63E00	1.37E-01	1.500	APAF1,BID,CASP1,DNAJC3,HMGB1,HSP90AB1,HSP90B1,HSPA8,IFNGR1,IKBKB,IL18,IRF1,MAP2K3,NFKB1,NPM1,TAB2	
PD-1, PD-L1 cancer immunotherapy pathway	3.6E00	1.42E-01	0.258	B2M,CDKN1B,CSK,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-DRB5,IFNGR1,JAK3,LCP2,PDCD4,PIK3CD,PTEN,ZAP70	
TWEAK Signaling	3.57E00	2.29E-01	0.000	APAF1,BAG4,BID,BIRC2,IKBKB,MAP3K14,NFKB1,TNFRSF25	
PKCθ Signaling in T Lymphocytes	3.56E00	1.23E-01	2.065	CHP1,HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,IKBKB,LCP2,MAP3K14,MAP3K4,MAP3K6,NFKB1,NRAS,PIK3CD,RAC1,RAC2,RAP1A,VAV2,VAV3,ZAP70	
3-phosphoinositide Degradation	3.56E00	1.23E-01	2.065	ACP1,DUSP1,DUSP23,DUSP5,IGBP1,INPP4A,INPP5B,INPP5D,MTMR14,NUDT16,OCRL,PIKFYVE,PIP4P2,PPP1CC,PPP1R14B,PTEN,RNGTT,SOCS3,TPTE	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	3.53E00	1.02E-01	0.378	BTK,CALM1 (includes others),CCND3,CD5,CD72,CHP1,CSK,IFNGR1,IL18,INPP5B,INPP5D,IRAK1,IRF5,IRF7,MAP3K14,MCL1,NFKB1,NRAS,OCRL,PAG1,PIK3CD,PRKCD,RAC1,RAC2,RAP1A,SYK,TMEM173,TNFSF13	
Glucocorticoid Receptor Signaling	3.42E00	9.52E-02	NaN	ANXA1,ARID1A,CDKN1A,CHP1,DUSP1,FKBP4,FKBP5,GTF2H3,HMGB1,HSP90AB1,HSP90B1,HSPA8,IKBKB,JAK3,KRT10,MAP3K14,NCOA1,NCOA3,NFKB1,NR3C1,NRAS,PIK3CD,POU2F2,PRKAB2,RAC1,RAP1A,SMARCC1,TAF15,TAF6,TGFBR2,VIPR1,YWHAH	
RhoA Signaling	3.38E00	1.3E-01	-0.258	ABL2,ACTG1,ACTR2,ARHGAP5,ARHGAP9,ARPC2,ARPC4,ARPC5,KTN1,LPAR4,MYL12A,MYL6B,PIKFYVE,RHOA,SEPTIN6,SEPTIN7	
Cardiac Hypertrophy Signaling	3.36E00	1.04E-01	0.000	ADCY9,CALM1 (includes others),CDC42,CHP1,GNAI2,GNAI3,GNAQ,MAP2K3,MAP3K14,MAP3K4,MAP3K6,MAPKAPK2,MYL12A,MYL6B,NRAS,PDIA3,PIK3CD,PRKAR1A,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,TGFBR2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.33E00	1.46E-01	NaN	AP1B1,AP2S1,B2M,CLTB,CLTC,HLA-A,HLA-C,LCP2,PIK3CD,PPM1L,PPP2R5C,SYK,ZAP70	
Synaptogenesis Signaling Pathway	3.31E00	9.62E-02	1.671	ACTR2,ADCY9,AP1B1,AP2S1,ARHGEF7,ARPC2,ARPC4,ARPC5,CALM1 (includes others),CDC42,CREB5,DLG4,DNAJC5,EIF4EBP2,EPHB4,HSPA8,ITSN1,NRAS,PAK1,PIK3CD,PRKAR1A,PRKCD,RAC1,RAP1A,RAPGEF1,RASGRF1,RHOA,STX16,SYT11,TLN1	
Cdc42 Signaling	3.15E00	1.14E-01	0.905	ACTR2,ARHGEF6,ARPC2,ARPC4,ARPC5,B2M,CDC42,DIAPH1,EXOC2,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-DRB5,MYL12A,MYL6B,PAK1,PAK2,VAV2	
Reelin Signaling in Neurons	3.15E00	1.24E-01	0.000	ACTR2,APP,ARHGEF6,ARPC2,ARPC4,ARPC5,CDC42,ITGB2,MAP2K3,MAP4K1,PDK3,PIK3CD,RAC1,RAP1A,RAPGEF1,RHOA	
T Cell Receptor Signaling	3.13E00	1.33E-01	NaN	BTK,CALM1 (includes others),CSK,IKBKB,LCP2,NFKB1,NRAS,PAG1,PIK3CD,RAC1,RAP1A,VAV2,VAV3,ZAP70	
Sirtuin Signaling Pathway	3.13E00	9.62E-02	0.943	APEX1,APP,ATG4A,ATG4C,ATP5PB,CPT1A,H1-10,H1-3,H3-3A/H3-3B,HIF1A,IDH2,NAMPT,NDRG1,NDUFA12,NDUFA13,NDUFA4,NDUFB8,NFKB1,SIRT3,SLC25A4,SLC25A5,SMARCA5,TIMM23B,TOMM7,TRIM28,TSPO,TUBA1B,UQCRFS1	
Apelin Adipocyte Signaling Pathway	3.13E00	1.46E-01	2.309	ADCY9,CLIC2,CYBB,GNAI2,GNAI3,GPX4,GSTK1,GSTP1,HIF1A,NCF2,PRKAB2,PRKAR1A	
Role of NFAT in Regulation of the Immune Response	3.12E00	1.1E-01	0.894	BTK,CALM1 (includes others),CHP1,CSNK1G2,FCER1A,GNAI2,GNAI3,GNAQ,HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,IKBKB,LCP2,NFKB1,NRAS,PIK3CD,RAP1A,SYK,ZAP70	
Mitochondrial Dysfunction	3.03E00	1.11E-01	NaN	APP,ATP5MGL,ATP5PB,COX7A2,COX7B,CPT1A,GPX4,HSD17B10,NDUFA12,NDUFA13,NDUFA4,NDUFB8,OGDH,TRAK1,TXN2,UQCR10,UQCR11,UQCRB,UQCRFS1	
Aldosterone Signaling in Epithelial Cells	3.02E00	1.14E-01	-0.447	AHCY,DNAJB14,DNAJC10,DNAJC15,DNAJC2,DNAJC3,DNAJC30,DNAJC5,DUSP1,HSP90AB1,HSP90B1,HSPA8,HSPD1,PDIA3,PIK3CD,PIKFYVE,PRKCD,TRAP1	
Gαq Signaling	3.02E00	1.14E-01	1.069	BTK,CALM1 (includes others),CDC42,CHP1,CSK,EPM2A,GNAQ,HMOX1,IKBKB,NFKB1,PIK3CD,PRKCD,RAC1,RAC2,RGS2,RHOA,RHOC,RHOT1	
Paxillin Signaling	3.01E00	1.3E-01	-0.832	ACTG1,ARF1,ARHGEF6,ARHGEF7,CDC42,CSK,ITGB2,NRAS,PAK1,PAK2,PIK3CD,RAC1,RAP1A,TLN1	
Th1 Pathway	2.98E00	1.24E-01	0.302	HAVCR2,HLA-A,HLA-DQB1,HLA-DRB1,HLA-DRB5,IFNGR1,IL10RA,IL10RB,IL18,IRF1,ITGB2,JAK3,NFKB1,PIK3CD,SOCS3	
GNRH Signaling	2.96E00	1.1E-01	1.886	ADCY9,CALM1 (includes others),CDC42,CREB5,GNAI2,GNAI3,GNAQ,MAP2K3,MAP3K14,MAP3K4,MAP3K6,NFKB1,NRAS,PAK1,PAK2,PRKAR1A,PRKCD,RAC1,RAP1A	
Glioma Signaling	2.93E00	1.27E-01	-0.707	ABL1,CALM1 (includes others),CAMK1D,CDKN1A,CDKN2D,E2F4,IDH2,IDH3B,IGF2R,NRAS,PIK3CD,PRKCD,PTEN,RAP1A	
STAT3 Pathway	2.93E00	1.19E-01	-0.302	CDKN1A,IGF2R,IL10RA,IL10RB,IL13RA1,IL3RA,INSR,NDUFA13,NRAS,PIAS3,PIM1,RAC1,RAP1A,SOCS3,TGFBR2,VEGFA	
Neuroinflammation Signaling Pathway	2.93E00	9.33E-02	-1.347	APP,B2M,BIRC2,CASP1,CHP1,CREB5,CSF1R,CYBB,HLA-A,HLA-C,HLA-DQB1,HLA-DRB1,HLA-DRB5,HMGB1,HMOX1,IFNGR1,IKBKB,IL18,IRAK1,IRF7,JAK3,NCF2,NFKB1,PIK3CD,PLA2G12A,SYK,TGFBR2,TYROBP	
HGF Signaling	2.89E00	1.26E-01	1.155	CDC42,CDKN1A,ELF1,ETS1,MAP3K14,MAP3K4,MAP3K6,NRAS,PAK1,PIK3CD,PRKCD,RAC1,RAP1A,RAPGEF1	
Lipid Antigen Presentation by CD1	2.83E00	2.31E-01	NaN	AP1B1,AP2S1,B2M,CALR,PDIA3,PSAP	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.81E00	1.35E-01	NaN	CALM1 (includes others),CHP1,IKBKB,NFKB1,NRAS,RAC1,RAP1A,TGFBR2,TOB1,VAV2,VAV3,ZAP70	
Glioblastoma Multiforme Signaling	2.81E00	1.09E-01	-1.291	CDC42,CDKN1A,CDKN1B,E2F4,NF2,NRAS,PDIA3,PIK3CD,PRKCD,PTEN,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1,TSC1,TSC2	
iNOS Signaling	2.8E00	1.78E-01	2.236	CALM1 (includes others),HMGA1,IFNGR1,IKBKB,IRAK1,IRF1,JAK3,NFKB1	
Insulin Receptor Signaling	2.76E00	1.14E-01	0.000	EPM2A,INPP5B,INPP5D,INSR,NRAS,OCRL,PIK3CD,PPP1CC,PPP1R14B,PRKAR1A,PTEN,RAP1A,RAPGEF1,SOCS3,TSC1,TSC2	
RAR Activation	2.75E00	1.03E-01	NaN	ADCY9,ARID1A,CSK,DUSP1,GTF2H3,IL3RA,MAPKAPK2,NCOA1,NFKB1,NRIP2,PIK3CD,PRKAR1A,PRKCD,PRMT1,PSMC5,PTEN,RAC1,SMARCC1,TNIP1,VEGFA	
CXCR4 Signaling	2.75E00	1.08E-01	0.258	ADCY9,CDC42,GNAI2,GNAI3,GNAQ,MYL12A,MYL6B,NRAS,PAK1,PAK2,PIK3CD,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1	
Thrombin Signaling	2.75E00	1.01E-01	0.500	ADCY9,ARHGEF6,CAMK1D,CDC42,GNAI2,GNAI3,GNAQ,IKBKB,MYL12A,MYL6B,NFKB1,NRAS,PDIA3,PIK3CD,PRKCD,RAC1,RAC2,RAP1A,RHOA,RHOC,RHOT1	
Agrin Interactions at Neuromuscular Junction	2.73E00	1.39E-01	0.302	ACTG1,ARHGEF6,ARHGEF7,CDC42,ITGB2,NRAS,PAK1,PAK2,RAC1,RAC2,RAP1A	
Prostate Cancer Signaling	2.72E00	1.32E-01	NaN	ABL1,CDKN1A,CDKN1B,CREB5,GSTP1,HSP90AB1,HSP90B1,NFKB1,NRAS,PIK3CD,PTEN,RAP1A	
Necroptosis Signaling Pathway	2.65E00	1.08E-01	0.243	BIRC2,CASP1,CHP1,CYBB,DNM1L,FKBP1A,IKBKB,PLA2G12A,SLC25A3,SLC25A4,SLC25A5,TAB2,TIMM23B,TNFRSF10B,TNIP1,TOMM7,TSPO	
Axonal Guidance Signaling	2.62E00	8.06E-02	NaN	ABL1,ACTR2,ADAM8,ARHGEF6,ARHGEF7,ARPC2,ARPC4,ARPC5,CDC42,CHP1,DPYSL2,EPHB4,ERAP2,GNAI2,GNAI3,GNAQ,HERC2,ITSN1,MICAL1,MYL12A,MYL6B,NRAS,PAK1,PAK2,PDIA3,PIK3CD,PLXNC1,PRKAR1A,PRKCD,RAC1,RAC2,RAP1A,RHOA,SUFU,TUBA1B,TUBB,VASP,VEGFA,VEGFB	
LPS-stimulated MAPK Signaling	2.6E00	1.34E-01	0.905	CDC42,IKBKB,MAP2K3,MAP3K14,NFKB1,NRAS,PAK1,PIK3CD,PRKCD,RAC1,RAP1A	
